,Mean,Min,Max,Range,SD
average clause length,9.27,3.13,31.89,28.76,4.23
amplifiers,11.5,0,29.11,29.11,4.92
monosyllabic negation,8.94,0,30.94,30.94,5.99
average sentence length,33.03,8.56,127.21,118.65,15.62
average sentence length'SD,22.86,6.53,406.46,399.93,20.54
auxiliary adjectives,5.2,0,41.19,41.19,4.11
average word length,1.5,1.26,1.84,0.58,0.13
BE,12.92,0,31.42,31.42,5.91
disyllabic prepositions,2.42,0,18.07,18.07,2.03
classical function words,6.02,0,45.9,45.9,4.71
classical syntac,6.56,0,52.76,52.76,5.85
classifiers,25.58,2.83,53.01,50.18,10.02
conditional conjuncts,1.97,0,11.32,11.32,1.66
demonstrative pronouns,17.19,0.41,45,44.59,6.91
descriptive words,1.75,0,11.83,11.83,2.01
disyllabic verbs,65.68,18.56,108.95,90.39,15.32
disyllabic words,27.7,0,110.79,110.79,22.13
downtoners,1.21,0,7.88,7.88,1.13
emotion words,10.1,0.43,58.18,57.75,6.32
existential,4.92,0,13.08,13.08,2.62
exclamation,1.61,0,20.12,20.12,3.03
first-person pronouns,9.37,0,84.94,84.94,12.35
hedges,3.4,0,15,15,2.52
HSK 1,205.94,39.89,361.05,321.16,64.72
HSK 3,125.43,24.09,253.16,229.07,35.52
imperfect markers,14.35,0.83,36.47,35.64,6.18
indefinite pronouns,2.34,0,16.4,16.4,2.21
interrogative,3.73,0,26.82,26.82,3.66
intransitive verbs,17.83,3.51,64.37,60.86,6.79
lexical density,581.13,350.2,895.39,545.19,84.75
modifying adverbs,20.19,0,51.9,51.9,8.52
complement marker de,1.39,0,8.13,8.13,1.38
adverbial marker di,2.55,0,17.25,17.25,2.43
monosyllabic verbs,34.52,6.24,75.51,69.27,14.51
nominalisation,43.2,1.97,198.73,196.76,32.17
nouns excl. nominalisation,218.7,89.27,398.59,309.32,59.19
onomatopoeia,0.49,0,9.28,9.28,0.92
other personal pronouns,2.39,-10.7,25.12,35.82,3.45
modal particles,7.13,0,90.67,90.67,10.1
perfect aspect markers,11.59,0,40.61,40.61,6.87
Chinese person names,13.11,0,100.4,100.4,14.22
phrasal coordination,12.89,0,44.87,44.87,8.54
private verbs,12.67,1.2,32.74,31.54,6.05
public verbs,5.56,0,27.62,27.62,4.79
question,2.8,0,27.23,27.23,3.92
adverbs,61.44,4.4,115.16,110.76,21.26
simile,2.12,0,13.87,13.87,2.1
seem/appear,0.35,0,3.89,3.89,0.59
second-person pronouns,4.04,0,51.58,51.58,6.36
disyllabic negation,1.71,0,10.19,10.19,1.64
third-person pronouns,10.7,0,61.3,61.3,10.7
unique words ratio,216.56,63.73,345.92,282.19,52.5
WH-words,1.37,0,7.83,7.83,1.43
honorifics,3.74,0,34.97,34.97,5.11
