abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
47.13,0.0,0.0,0.0,0.0,0.0,0.0,0.46,3.71,0.43,0.0,0.0,9.28,0.0,0.43,8.35,1.39,5.57,0.46,38.03,0.46,13.45,3.0,1.29,0.0,0.0,95.97,66.41,339.05,681.5,65.4,46.7,252.36,20.87,104.82,4.17,1.6,7.42,4.64,2.32,12.52,78.83,0.46,6.03,0.46,1.86,9.74,0.0,0.0,0.0,49.7,50.47,63.81,63.81
69.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,1.32,3.08,9.81,1.28,1.76,8.95,1.28,7.67,0.43,22.17,0.85,14.07,5.72,2.2,0.0,0.0,95.91,49.71,314.15,740.41,106.57,53.67,278.93,22.59,122.34,4.26,1.61,6.39,12.79,11.51,20.46,144.3,0.0,5.97,0.0,1.28,8.95,0.44,0.0,0.0,6.6,14.43,14.36,62.14
56.39,0.0,0.0,0.0,0.0,0.0,0.0,1.41,3.28,0.0,0.0,0.0,7.03,-0.47,0.88,13.59,1.87,14.06,0.0,32.8,0.47,8.9,4.85,1.76,0.88,0.0,72.69,73.13,351.92,716.96,52.96,29.07,169.16,16.87,125.12,9.84,1.56,1.41,17.81,5.15,18.74,130.4,0.0,6.09,1.87,0.0,5.15,0.44,0.0,0.0,27.75,10.08,15.94,80.07
42.8,0.43,0.85,1.7,0.43,0.42,0.85,0.85,1.28,2.1,0.0,1.26,7.68,2.98,2.1,9.8,10.22,16.18,6.39,42.59,2.56,16.18,9.65,4.62,0.0,0.85,139.74,134.28,276.83,639.69,55.37,32.73,229.96,14.91,83.48,3.83,1.56,3.41,34.5,1.7,21.72,114.14,0.0,8.94,0.43,2.56,4.68,2.1,0.0,0.0,48.26,15.53,28.77,28.77
69.73,0.89,0.0,2.22,0.0,0.0,1.78,6.22,2.67,1.77,0.0,3.09,7.1,-0.89,3.09,13.78,13.33,18.67,1.78,46.22,3.56,24.0,6.18,15.0,2.21,0.89,150.93,109.0,298.22,669.63,67.56,48.54,327.45,20.44,84.0,3.56,1.53,6.22,12.89,6.67,23.09,147.84,2.67,9.33,0.0,1.33,8.0,4.41,0.0,0.44,1.32,6.03,11.11,29.2
80.61,0.0,0.0,0.86,0.0,0.0,0.86,4.73,2.15,0.41,0.0,0.41,6.88,2.15,2.48,5.59,7.31,3.44,0.0,32.7,0.86,12.91,8.27,7.03,0.0,0.0,118.23,97.15,293.89,649.33,67.99,32.24,241.42,20.65,113.6,5.16,1.57,18.07,36.14,2.15,11.6,112.44,2.15,12.91,0.0,6.45,3.44,0.83,0.0,0.43,27.28,15.05,27.45,30.0
82.76,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.32,0.0,0.0,0.0,10.97,-1.32,4.44,2.63,7.01,7.45,0.0,28.5,0.44,10.08,8.88,5.65,0.0,0.0,129.59,90.43,344.59,692.24,85.05,31.89,350.42,33.76,138.54,3.95,1.7,3.95,16.66,4.82,11.4,138.07,1.32,5.7,0.0,0.88,8.33,0.4,0.0,0.0,19.38,9.84,13.57,41.71
58.85,0.0,0.0,0.45,0.0,0.0,0.0,7.23,0.45,0.41,0.0,0.41,5.41,0.0,4.14,5.42,2.71,4.52,0.0,22.59,3.16,11.75,9.53,2.49,0.0,0.0,100.29,51.39,338.45,660.19,62.36,27.35,272.28,23.95,130.59,8.13,1.67,4.07,24.4,8.59,7.68,149.61,0.0,4.97,0.0,0.0,3.16,0.0,0.0,0.0,29.84,39.3,56.45,56.45
61.37,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2.27,0.41,0.0,0.0,7.69,-0.91,4.53,7.25,7.25,9.06,0.0,24.92,1.36,12.23,5.77,4.53,0.0,0.91,114.5,92.26,321.7,652.02,72.04,33.77,283.77,30.81,106.93,3.17,1.68,4.53,16.76,4.98,14.5,179.98,2.27,6.34,0.0,0.91,1.81,0.41,0.0,0.91,31.3,26.53,32.72,32.72
115.22,0.0,0.0,2.26,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,4.97,-0.9,2.98,4.07,4.52,13.56,0.45,33.89,1.36,5.42,8.5,6.8,0.85,0.0,109.69,92.26,314.96,707.9,77.27,54.0,335.03,34.79,111.61,2.26,1.72,5.87,18.08,7.23,12.64,180.7,2.26,3.62,0.45,0.45,9.49,0.0,0.0,0.9,15.73,11.25,13.25,31.65
48.73,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.25,0.0,0.0,0.0,5.85,-0.83,1.25,3.75,7.92,9.17,1.25,29.61,2.5,9.17,8.33,9.16,0.42,0.42,129.53,88.3,295.66,663.89,83.4,43.73,262.39,36.28,90.49,5.0,1.66,8.34,6.67,0.42,13.76,143.27,0.0,7.92,0.42,0.83,4.17,2.08,0.0,0.0,20.82,11.27,12.11,37.1
56.8,0.0,0.79,1.19,0.0,0.0,0.0,2.77,1.58,0.0,0.0,1.6,4.75,-0.4,2.8,2.77,8.71,15.05,0.4,41.19,2.77,13.07,13.6,1.6,0.0,0.0,140.8,80.0,259.8,606.73,48.72,27.2,216.0,29.7,67.33,4.75,1.7,0.4,22.18,7.92,17.03,231.6,0.79,4.36,0.79,2.77,6.73,2.8,0.4,0.4,27.6,24.11,38.67,54.53
67.09,0.0,0.0,0.42,0.0,0.0,0.0,2.09,2.09,0.0,0.0,0.0,15.47,-0.84,12.31,6.27,5.86,7.11,0.0,30.11,0.84,16.31,11.46,8.49,2.12,1.25,131.63,109.98,323.71,709.33,79.47,48.41,317.2,20.49,104.98,7.11,1.67,3.76,8.78,4.18,9.62,88.75,5.02,12.13,0.0,0.0,5.02,2.12,0.0,0.0,1.7,7.23,10.72,33.63
26.26,0.0,0.4,0.0,0.0,0.0,0.0,1.19,2.39,0.0,0.0,0.0,5.58,0.0,3.28,5.97,6.37,7.17,0.0,33.05,4.78,8.76,8.62,6.98,2.05,0.0,96.84,67.3,292.71,645.16,46.99,32.01,215.43,28.28,88.41,8.36,1.71,3.98,21.9,1.19,25.49,203.94,0.0,8.76,0.0,0.4,1.99,0.41,0.41,0.0,32.01,5.72,9.28,23.61
103.6,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.39,0.0,0.41,1.23,5.5,0.39,2.05,11.0,9.03,13.35,1.18,27.1,1.18,17.67,4.91,4.1,0.0,0.0,119.98,65.52,330.32,733.7,100.16,69.21,323.91,34.96,124.51,3.14,1.74,5.5,9.82,2.36,14.93,153.97,1.96,10.21,0.0,1.18,3.93,0.41,0.0,0.0,20.88,9.46,13.44,49.85
32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,1.32,-1.32,1.95,18.45,0.88,1.76,0.0,42.18,5.71,11.42,5.07,6.24,0.39,0.0,70.62,49.16,309.31,548.33,31.64,35.12,202.5,19.77,100.62,2.64,1.63,2.64,36.03,1.76,7.47,112.37,0.0,6.59,0.0,0.0,0.44,0.39,0.0,0.0,11.31,10.0,11.87,37.82
84.83,0.0,0.0,0.0,0.0,0.0,0.0,0.83,5.41,0.0,0.0,0.41,6.23,-7.07,2.85,4.99,4.16,16.63,0.83,42.0,4.57,7.48,8.16,3.26,0.0,0.42,130.51,67.7,259.04,764.24,141.79,79.93,334.83,32.85,127.23,9.98,1.62,5.41,7.07,2.08,13.31,151.71,1.25,7.9,0.83,0.42,8.32,0.0,0.0,0.0,2.85,9.99,12.77,61.85
