,Median,Min,Max,Range,IQR
average clause length,17.42,10.62,25.79,15.17,4.44
amplifiers,8.59,0.0,26.04,26.04,5.53
monosyllabic negation,3.31,0.0,11.64,11.64,3.59
average sentence length,62.08,27.15,127.21,100.06,21.42
average sentence length'SD,35.75,19.11,88.09,68.98,16.68
auxiliary adjectives,4.64,0.82,41.19,40.37,4.57
average word length,1.62,1.44,1.84,0.40000000000000013,0.1
BE,10.43,0.82,28.28,27.46,8.36
disyllabic prepositions,3.98,0.0,18.07,18.07,2.92
classical function words,8.12,0.41,22.78,22.37,5.2
classical syntac,9.14,0.42,23.73,23.31,5.58
classifiers,14.81,2.98,38.14,35.160000000000004,9.53
conditional conjuncts,0.84,0.0,6.39,6.39,1.77
demonstrative pronouns,13.24,2.49,31.97,29.479999999999997,7.11
descriptive words,0.0,0.0,3.39,3.39,0.51
disyllabic verbs,62.12,35.06,96.11,61.05,20.28
disyllabic words,44.98,15.6,110.79,95.19000000000001,23.12
downtoners,0.39,0.0,4.64,4.64,0.81
emotion words,4.11,0.43,19.95,19.52,4.2
existential,2.51,0.0,8.47,8.47,3.02
exclamation,0.0,0.0,1.64,1.64,0.0
first-person pronouns,0.76,0.0,12.77,12.77,1.8
hedges,4.58,0.42,15.0,14.58,4.38
HSK 1,154.76,70.62,226.93,156.31,58.37
HSK 3,92.77,49.16,179.26,130.1,33.25
imperfect markers,9.66,0.83,22.97,22.14,6.73
indefinite pronouns,0.42,0.0,4.12,4.12,1.27
interrogative,0.44,0.0,7.09,7.09,1.39
intransitive verbs,10.99,3.51,42.94,39.43,6.82
lexical density,661.75,511.07,895.39,384.32,94.03
modifying adverbs,13.58,1.76,27.66,25.9,7.67
complement marker de,0.0,0.0,2.04,2.04,0.43
adverbial marker di,1.26,0.0,5.31,5.31,1.9
monosyllabic verbs,15.68,7.41,37.99,30.580000000000002,5.84
nominalisation,69.03,30.9,173.85,142.95,33.0
nouns excl. nominalisation,281.11,183.1,395.6,212.50000000000003,59.96
onomatopoeia,0.0,0.0,9.28,9.28,0.1
other personal pronouns,0.0,-10.7,4.44,15.14,2.57
modal particles,0.0,0.0,5.95,5.95,0.82
perfect aspect markers,5.88,0.0,14.81,14.81,5.02
Chinese person names,2.54,0.0,25.91,25.91,3.83
phrasal coordination,23.78,10.62,44.87,34.25,10.95
private verbs,7.68,1.32,18.57,17.25,5.14
public verbs,2.06,0.0,10.16,10.16,3.28
question,0.0,0.0,6.26,6.26,0.43
adverbs,39.39,14.41,73.92,59.510000000000005,15.29
simile,0.84,0.0,6.45,6.45,0.99
seem/appear,0.0,0.0,1.27,1.27,0.0
second-person pronouns,0.0,0.0,0.82,0.82,0.0
disyllabic negation,0.42,0.0,4.46,4.46,0.97
third-person pronouns,1.44,0.0,25.77,25.77,3.18
unique words ratio,152.3,63.73,287.1,223.37000000000003,51.71
WH-words,0.0,0.0,5.0,5.0,0.82
honorifics,0.0,0.0,32.35,32.35,0.81
