abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
13.11,0.83,9.16,5.41,0,1.19,1.66,8.74,14.57,0,0,1.19,12.47,5.41,14.69,3.75,13.73,18.31,0.42,78.24,9.99,23.72,17.47,3.97,3.18,0.83,232.33,164.81,221.81,592.18,14.98,10.33,141.78,1.66,42.45,2.91,1.41,0.83,32.46,14.57,67,284.35,0.83,15.81,1.25,2.91,13.73,19.06,0.79,6.24,0,5.09,8.95,34.45
27.53,4.92,13.52,7.37,0,1.62,3.69,17.21,20.89,2.43,2.83,1.21,16.39,4.92,11.74,4.1,19.25,23.35,2.05,79.07,7.37,21.71,21.05,2.02,0.81,1.23,251.42,153.85,204.01,583.54,9.01,12.15,153.04,3.28,26.63,3.69,1.45,2.05,27.45,3.28,61.43,294.33,0.41,15.98,1.64,1.23,15.57,14.57,0,1.64,0,3.33,7.12,44.72
16.46,12.47,9.98,7.07,0.83,3.53,1.66,7.07,12.05,6.66,6.27,9.41,20.37,3.33,15.29,0.42,17.87,31.17,2.49,92.27,5.82,34.91,8.23,0.78,0,4.16,254.8,161.9,135.91,524.52,18.29,7.84,125.05,5.4,17.04,5.4,1.4,1.25,31.59,31.17,45.3,249.71,1.25,16.21,6.23,0.83,11.22,16.46,0.39,5.4,0,2.81,5.95,25.85
14.52,5.01,14.19,6.26,4.59,0.83,2.09,4.17,10.43,0.83,15.76,2.07,16.28,3.76,8.3,2.09,17.53,37.98,4.17,84.72,4.59,32.55,11.61,1.24,0.41,1.25,218.58,127.33,155.26,507.72,18.78,9.95,127.33,1.25,20.87,1.67,1.36,1.67,53.01,16.69,54.7,272.5,1.67,19.2,1.25,0,20.03,7.05,0.83,2.5,0,2.72,6.55,31.57
10.69,2.53,11.38,5.9,1.26,6.58,2.11,18.13,14.76,14.39,0.41,2.47,19.81,1.69,5.35,4.22,11.8,24.03,1.69,69.56,2.95,27.4,20.56,2.06,0.82,2.53,267.27,156.66,143.76,490.3,16.44,2.47,108.55,4.22,22.34,4.64,1.29,1.26,40.05,24.03,58.18,243.01,6.75,21.08,0.84,1.26,23.19,11.51,0.41,2.11,0,2.9,6.58,53.04
16.25,1.78,12.01,5.34,2.22,8.53,1.33,9.78,16.01,7.31,6.9,4.06,12.45,3.11,15.43,7.56,11.56,36.02,5.34,115.16,8,20.9,22.75,4.47,2.03,0.89,220.15,173.84,158.74,526.69,16.01,10.15,140.94,8,22.23,4.45,1.37,1.78,25.79,51.13,49.38,244.11,1.33,16.45,2.22,3.11,18.23,19.9,0,3.11,0.81,3.63,6.39,14.1
19.88,2.57,6.43,2.14,5.14,9.94,0,1.71,11.14,8.7,1.24,4.14,9.43,3,6.21,3,15,24.42,2.57,81.41,5.57,19.71,11.6,0.83,1.24,3,269.68,175.64,185.95,518.63,20.56,6.21,119.72,7.71,32.13,4.71,1.35,0.86,47.13,3.86,47.97,224.94,8.14,20.99,5.14,4.71,15.42,12.84,0.41,1.71,0.41,4.09,7.26,27.39
15.42,1.74,5.22,3.91,0,8.34,1.74,2.17,7.82,32.1,3.33,3.75,16.94,3.91,5.84,6.52,10,34.33,2.61,80.4,6.52,28.68,10,2.08,1.67,9.13,300.13,144.23,179.92,521.95,14.77,10.84,126.72,12.17,26.94,5.22,1.34,0.43,33.46,1.3,39.98,235.1,6.08,25.64,4.35,3.04,13.47,15.84,0,1.3,0,3.8,7.27,26.56
10.21,6.51,8.96,5.7,2.85,3.83,1.22,10.59,10.99,1.7,0.43,2.98,16.29,1.63,7.23,4.89,11.4,31.35,1.63,89.98,5.7,15.88,14.47,2.13,0.85,1.63,215.32,132.34,210.1,548.05,15.48,10.21,115.74,5.29,37.87,4.89,1.31,0,35.02,12.62,57.41,208.94,2.44,11.81,3.66,0.41,13.03,17.02,0.43,0.81,0,3.29,6.68,24.81
10.7,6.12,7.35,5.31,4.9,0.43,1.63,8.98,12.24,3.42,8.13,2.57,10.2,4.08,5.56,8.98,10.61,18.78,1.63,80,7.76,17.55,13.69,1.71,0,0.82,244.33,140.35,221.63,559.77,17.55,15.4,142.06,4.08,34.69,4.49,1.47,0,30.61,16.33,66.5,293.54,4.08,14.29,7.35,5.31,9.8,17.54,0.86,2.04,0,4.92,8.16,23.85
