register,dimension1,dimension2,dimension3,dimension4,dimension5
adventure_fiction_01,-0.127849583,6.751384674,-7.990300901,5.244245283,-0.019912386
adventure_fiction_02,7.528284341,6.404161695,-6.168815902,-0.291530896,0.139759904
adventure_fiction_03,14.15768802,8.697097351,-9.153439405,5.028210975,-2.128829441
adventure_fiction_04,6.995487748,6.884083543,-7.551962359,2.036134418,-1.448886201
adventure_fiction_05,6.594402563,5.752468944,-8.503808242,4.771115354,0.73459343
adventure_fiction_06,5.897034907,13.45648509,-10.70681827,3.347650792,-2.898091322
adventure_fiction_07,1.651828859,5.521829915,-5.135560009,7.662625396,-1.310263959
adventure_fiction_08,3.460711533,11.46009992,-7.133185046,5.343882488,-1.509364708
adventure_fiction_09,3.25239974,2.513803119,-7.345151028,0.427513796,-1.945606319
adventure_fiction_10,3.767783157,0.352100994,-7.799534345,6.807653157,-1.293110249
adventure_fiction_11,6.807300019,8.163465412,-8.090348693,{16.73704086},-1.581014546
adventure_fiction_12,6.961971998,6.770256019,-8.543490228,2.847752066,-1.760161805
adventure_fiction_13,-2.860136306,-0.089209626,-12.28689932,0.998385776,-1.638982904
adventure_fiction_14,5.640694141,4.356664863,-5.570014977,{14.70692264},-1.125440861
adventure_fiction_15,9.662733838,4.355128763,-8.225198716,7.884251603,-0.610649148
adventure_fiction_16,0.321912209,4.644881107,-7.512096371,5.425938705,-0.791231969
adventure_fiction_17,-4.448021404,8.056738103,-7.296493537,7.06998434,-0.397073451
adventure_fiction_18,14.01308818,9.765322331,-9.820703884,3.393238192,-1.266023294
adventure_fiction_19,15.6822126,6.160653594,-12.53701344,3.999568931,-2.624076086
adventure_fiction_20,-2.114740325,7.295877748,-6.514559282,5.364451879,-1.693356727
adventure_fiction_21,9.37280447,3.309105419,-6.596886067,4.631430474,-1.183052628
adventure_fiction_22,12.54468267,6.857018997,-8.159885569,2.769376799,-0.480205638
adventure_fiction_23,4.723067357,13.67066562,-6.413992417,7.401469597,{3.216491667}
adventure_fiction_24,7.754543284,4.988454977,-8.089439459,5.480348638,-0.324932219
adventure_fiction_25,8.755020216,9.574212472,-9.022011955,-0.833072652,-0.302851236
adventure_fiction_26,6.969378821,5.49394596,-9.156143061,9.443546975,-1.220685802
adventure_fiction_27,6.685925864,4.658004759,-8.14924642,10.20897179,-0.463713035
adventure_fiction_28,6.476246294,0.681026602,-5.80619827,11.28410797,{9.914341157}
adventure_fiction_29,-3.169274626,-2.953027408,-9.241327809,{16.13614001},-2.140465424
adventure_fiction_30,7.845947867,1.71753752,-8.883194946,{16.61001948},-2.070641004
adventure_fiction_31,3.634581143,-0.546780881,-12.21729393,5.350988912,0.259245791
adventure_fiction_32,7.386375271,-1.007906125,-9.609392266,3.371102285,-1.499280451
