,Median,Min,Max,Range,IQR
average clause length,7.32,5.95,11.79,5.839999999999999,1.57
amplifiers,11.6,3.26,24.41,21.15,6.94
monosyllabic negation,11.94,3.94,20.89,16.95,4.22
average sentence length,27.79,14.1,60.7,46.6,6.71
average sentence length'SD,18.4,9.03,70.68,61.650000000000006,8.44
auxiliary adjectives,3.51,1.22,6.71,5.49,2.11
average word length,1.36,1.28,1.47,0.18999999999999995,0.07
BE,14.42,9.27,23.21,13.940000000000001,5.8
disyllabic prepositions,0.86,0.0,2.76,2.76,1.2
classical function words,4.2,0.4,12.19,11.79,3.62
classical syntac,4.68,1.25,13.57,12.32,3.32
classifiers,32.02,20.36,53.01,32.65,7.64
conditional conjuncts,2.53,0.41,6.68,6.27,1.96
demonstrative pronouns,22.38,13.78,44.05,30.269999999999996,8.43
descriptive words,4.16,0.84,11.83,10.99,3.78
disyllabic verbs,57.44,40.88,74.71,33.82999999999999,16.56
disyllabic words,9.34,2.44,17.08,14.639999999999999,5.2
downtoners,1.3,0.0,3.89,3.89,1.28
emotion words,9.05,4.36,17.3,12.940000000000001,5.92
existential,5.37,1.62,9.99,8.370000000000001,2.41
exclamation,2.73,0.0,13.84,13.84,4.47
first-person pronouns,7.14,0.0,39.54,39.54,9.3
hedges,2.03,0.0,8.76,8.76,1.87
HSK 1,233.64,163.25,300.13,136.88,47.81
HSK 3,143.55,90.2,184.6,94.39999999999999,26.2
imperfect markers,19.84,9.42,30.69,21.270000000000003,5.38
indefinite pronouns,2.8,1.19,9.41,8.22,1.68
interrogative,5.21,2.14,10.92,8.78,2.41
intransitive verbs,20.64,13.86,35.57,21.71,7.33
lexical density,525.6,485.8,592.18,106.37999999999994,35.27
modifying adverbs,25.64,18.09,37.98,19.889999999999997,8.78
complement marker de,2.44,0.43,6.24,5.8100000000000005,1.69
adverbial marker di,3.87,0.4,13.3,12.9,4.57
monosyllabic verbs,51.94,37.28,73.95,36.67,10.23
nominalisation,16.9,6.74,27.91,21.17,5.22
nouns excl. nominalisation,180.47,135.91,267.32,131.41,33.62
onomatopoeia,0.87,0.0,4.43,4.43,1.06
other personal pronouns,3.23,1.21,10.42,9.21,1.77
modal particles,11.36,3.85,20.58,16.729999999999997,6.58
perfect aspect markers,16.51,11.17,40.61,29.439999999999998,5.39
Chinese person names,17.76,1.3,57.18,55.88,15.58
phrasal coordination,6.2,1.25,12.17,10.92,3.7
private verbs,16.28,7.7,21.63,13.93,6.3
public verbs,7.15,1.28,18.13,16.849999999999998,5.14
question,4.42,0.0,13.44,13.44,3.92
adverbs,80.03,52.54,115.16,62.62,9.25
simile,2.98,0.0,7.89,7.89,3.03
seem/appear,0.42,0.0,3.89,3.89,1.2
second-person pronouns,5.36,0.43,17.21,16.78,6.86
disyllabic negation,1.68,0.0,9.13,9.13,2.12
third-person pronouns,14.5,1.29,38.96,37.67,6.74
unique words ratio,243.56,180.05,297.19,117.13999999999999,69.07
WH-words,1.7,0.0,4.62,4.62,0.84
honorifics,3.71,0.0,15.76,15.76,5.26
