abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
50.57,1.23,9.86,6.57,0.41,9.77,1.23,3.29,9.04,25.92,0.0,3.4,19.32,5.75,14.02,2.47,21.36,26.29,4.93,75.18,8.22,20.13,18.27,7.22,4.25,2.47,277.09,153.85,171.32,543.14,39.03,20.82,171.7,9.04,29.58,1.64,1.5,1.64,30.81,9.04,27.12,192.1,2.05,12.74,1.64,0.0,11.5,14.02,0.0,2.05,0.85,5.5,7.43,27.7
18.56,1.26,2.93,3.35,0.42,0.83,0.42,1.26,7.54,4.13,6.19,2.48,16.76,2.93,16.5,11.73,15.91,22.19,0.0,67.42,6.7,25.13,9.9,3.3,1.65,3.35,251.65,99.42,198.49,545.19,28.47,11.14,147.28,15.49,34.76,2.93,1.42,3.77,24.29,18.84,45.19,304.87,2.93,15.91,5.86,2.51,11.73,16.09,0.0,2.51,0.0,4.25,6.72,29.29
50.8,0.86,1.71,2.14,0.43,0.85,1.28,2.57,4.7,0.42,0.85,1.27,3.43,0.0,3.39,11.12,10.69,25.66,0.86,64.59,4.28,15.83,10.16,4.23,0.85,1.28,207.87,91.87,246.79,539.35,38.5,29.21,227.35,11.12,58.17,5.56,1.55,3.85,30.8,9.84,26.09,262.07,3.42,17.54,7.7,0.86,12.4,6.35,0.85,0.86,2.54,4.94,8.3,28.89
29.76,0.0,3.0,0.86,0.86,0.42,0.43,2.15,7.29,1.68,0.84,2.51,14.17,1.72,12.99,9.01,14.16,26.17,3.43,82.8,5.58,22.31,17.18,3.35,0.84,2.15,225.9,121.54,190.91,539.55,28.74,12.15,166.81,10.73,37.32,3.43,1.47,2.57,23.6,24.02,36.54,263.62,1.72,16.3,1.29,3.86,13.3,18.44,0.0,0.86,0.42,4.43,7.87,30.39
31.84,2.2,6.59,4.84,0.44,1.29,2.2,5.27,11.43,15.49,2.58,5.59,23.75,7.47,10.33,3.52,23.74,22.86,3.52,79.56,6.15,22.86,21.94,4.3,2.58,8.35,300.77,164.37,160.0,545.85,46.16,23.24,158.78,7.47,42.2,4.4,1.42,3.08,32.53,10.99,36.42,211.27,1.76,16.26,0.44,1.32,10.55,18.07,0.0,1.76,0.0,4.9,7.7,30.41
26.91,0.86,3.43,1.71,0.0,0.0,0.86,1.71,5.14,2.1,6.31,0.42,7.72,1.71,10.93,11.14,13.72,20.57,1.29,66.44,4.71,15.86,12.62,1.68,0.0,0.86,231.29,130.36,193.74,529.44,35.15,15.56,166.53,12.0,33.0,2.57,1.42,2.57,26.15,18.86,40.83,253.57,6.0,18.43,6.86,5.14,12.86,26.91,0.0,1.29,0.0,4.57,7.61,30.69
42.28,2.13,3.41,3.41,1.71,6.28,1.71,5.54,12.37,14.23,1.26,2.09,15.36,7.68,11.72,11.94,15.35,23.03,4.26,78.89,10.23,11.09,14.65,3.35,0.84,5.54,226.04,138.13,184.22,566.92,40.94,30.56,189.2,14.07,30.28,3.84,1.45,1.71,21.75,20.47,30.26,246.13,3.41,14.93,0.43,2.13,10.23,9.63,0.0,1.28,0.0,3.88,7.23,27.43
49.47,3.33,7.91,4.58,0.83,10.63,2.91,5.0,10.41,11.04,0.82,2.45,22.05,2.08,12.26,4.58,19.57,20.82,7.08,71.19,7.49,17.9,16.35,10.22,0.82,2.5,263.7,174.57,191.51,548.48,39.98,13.49,157.4,7.91,33.72,5.0,1.45,0.83,31.64,25.81,40.37,220.36,1.25,10.41,0.0,0.0,10.82,8.18,0.41,1.67,0.82,4.67,8.34,26.8
14.62,1.26,1.26,2.94,0.0,0.42,0.42,1.68,15.12,0.84,0.42,0.84,18.9,3.78,20.89,8.82,7.98,28.14,2.52,79.8,3.36,18.9,6.68,0.42,0.0,3.78,251.04,175.02,150.36,526.94,42.92,25.48,143.69,10.5,22.26,3.78,1.37,0.42,21.84,8.4,36.62,262.74,4.2,21.0,7.14,8.4,19.74,47.2,0.0,1.26,0.0,3.33,6.14,25.01
7.65,0.0,1.63,4.9,0.0,0.0,0.82,2.86,11.03,1.21,0.0,3.62,14.71,2.04,21.74,7.76,16.76,31.88,4.5,94.81,1.63,13.49,10.06,1.61,0.4,0.41,191.22,142.51,190.03,586.6,18.8,8.86,122.38,8.58,24.11,4.9,1.28,0.41,22.48,22.07,73.53,279.79,3.68,16.35,11.44,2.45,10.63,33.82,0.0,2.45,0.0,2.95,5.88,20.59
8.15,0.85,5.11,2.55,0.43,0.41,0.43,4.26,6.81,1.63,0.81,0.81,8.09,0.43,6.92,8.09,11.91,20.0,0.0,72.77,2.55,16.6,12.63,0.81,0.41,0.85,146.64,96.95,194.89,515.07,19.58,8.55,119.35,10.21,31.49,2.55,1.36,1.28,27.66,47.66,59.02,317.31,1.28,10.21,1.7,2.55,6.38,9.37,0.81,0.43,1.63,3.99,6.46,27.88
34.21,0.0,1.32,0.44,0.0,0.0,0.0,2.2,6.16,50.24,1.3,0.43,15.4,0.88,9.09,8.36,19.81,14.52,0.88,53.26,2.2,24.65,13.43,0.43,0.43,0.88,329.15,121.26,175.18,477.97,28.61,22.95,167.17,19.37,38.73,2.64,1.47,1.76,41.37,0.0,28.19,256.82,3.08,27.29,1.76,3.08,17.17,23.82,2.17,1.76,3.03,5.45,9.44,22.79
34.54,1.98,6.34,3.96,4.76,5.1,0.79,7.93,8.72,14.13,4.32,1.96,11.89,5.15,14.91,10.31,12.29,22.2,0.79,66.19,3.57,19.42,13.34,1.57,2.35,0.0,235.09,127.16,162.5,500.59,35.27,16.88,167.97,15.46,37.65,2.77,1.39,1.19,29.33,12.68,30.92,237.83,0.79,11.89,2.38,2.77,7.13,8.24,2.75,1.59,1.57,5.04,7.61,30.46
33.82,0.0,2.02,6.87,0.0,7.25,3.64,6.07,19.01,84.94,0.81,5.23,32.74,7.68,48.31,1.62,22.64,29.11,11.32,99.07,6.07,23.86,22.14,2.42,0.81,2.83,352.25,154.59,106.35,503.03,38.41,26.97,140.9,9.7,17.39,2.02,1.39,2.83,15.37,0.0,20.62,139.29,1.62,11.32,0.81,2.43,4.45,11.27,0.4,3.64,1.61,8.06,14.72,15.67
16.93,0.0,6.58,1.75,0.0,5.21,0.44,1.75,11.4,11.72,4.34,1.3,17.54,2.63,12.59,10.08,9.64,21.04,3.07,69.27,3.07,18.41,11.72,0.43,0.87,2.63,254.88,137.21,188.51,530.67,26.33,11.29,140.25,10.96,33.32,1.75,1.4,0.88,32.44,20.17,51.71,317.85,6.58,23.24,6.14,8.33,6.58,20.84,0.43,1.32,1.3,27.76,31.89,31.89
24.32,0.83,8.67,1.65,1.24,2.13,0.83,2.06,11.97,38.82,0.0,1.71,12.39,1.24,11.09,2.89,8.25,26.41,2.48,72.64,5.37,15.68,9.81,4.27,0.43,4.13,246.16,167.66,160.54,526.01,22.29,12.8,127.56,7.02,25.59,0.83,1.44,4.13,48.7,1.65,45.83,256.83,5.37,26.41,1.24,1.24,28.48,5.55,0.0,0.41,0.0,4.07,6.58,19.2
