,Median,Min,Max,Range,IQR
average clause length,7.61,4.86,31.89,27.03,1.46
amplifiers,13.03,6.68,26.96,20.28,4.94
monosyllabic negation,8.55,2.34,20.82,18.48,5.24
average sentence length,27.55,15.67,46.2,30.53,6.76
average sentence length'SD,16.74,8.08,34.68,26.6,5.45
auxiliary adjectives,2.97,0.41,7.81,7.3999999999999995,1.96
average word length,1.45,1.28,1.68,0.3999999999999999,0.1
BE,14.24,3.81,26.06,22.25,6.28
disyllabic prepositions,1.65,0.0,6.4,6.4,1.62
classical function words,6.55,0.73,17.27,16.54,5.62
classical syntac,5.92,0.82,20.76,19.94,6.51
classifiers,29.33,14.52,48.7,34.18000000000001,7.69
conditional conjuncts,1.7,0.0,11.32,11.32,2.42
demonstrative pronouns,18.9,7.11,45.0,37.89,6.49
descriptive words,1.33,0.0,11.44,11.44,2.14
disyllabic verbs,65.34,35.42,94.78,59.36,15.54
disyllabic words,16.2,3.38,62.06,58.68,14.61
downtoners,0.86,0.0,6.58,6.58,1.22
emotion words,10.93,2.85,48.31,45.46,5.52
existential,5.48,1.63,13.08,11.45,2.85
exclamation,0.42,0.0,8.53,8.53,1.5
first-person pronouns,6.96,0.0,84.94,84.94,14.22
hedges,2.49,0.0,10.22,10.22,2.41
HSK 1,232.36,136.09,352.25,216.16,46.02
HSK 3,133.17,75.93,189.25,113.32,36.14
imperfect markers,15.89,7.69,31.5,23.81,6.26
indefinite pronouns,1.74,0.0,7.5,7.5,2.42
interrogative,2.94,0.0,10.0,10.0,2.82
intransitive verbs,17.61,5.62,28.16,22.54,8.02
lexical density,526.94,474.38,602.3,127.91999999999996,36.73
modifying adverbs,23.81,11.73,44.01,32.28,8.0
complement marker de,1.64,0.0,4.83,4.83,1.43
adverbial marker di,2.31,0.0,10.06,10.06,2.45
monosyllabic verbs,39.63,20.62,75.51,54.89,15.15
nominalisation,28.88,11.57,55.63,44.06,13.96
nouns excl. nominalisation,190.03,106.35,246.79,140.44,36.6
onomatopoeia,0.0,0.0,2.49,2.49,0.42
other personal pronouns,2.7,-2.17,13.3,15.47,3.34
modal particles,3.55,0.42,26.15,25.729999999999997,5.8
perfect aspect markers,14.54,3.1,30.96,27.86,6.01
Chinese person names,20.17,0.0,47.66,47.66,20.66
phrasal coordination,10.21,0.77,22.32,21.55,5.35
private verbs,13.64,2.51,32.74,30.230000000000004,8.2
public verbs,3.91,0.82,23.79,22.97,3.79
question,1.22,0.0,8.85,8.85,2.07
adverbs,71.08,48.67,111.85,63.17999999999999,12.97
simile,2.11,0.0,8.4,8.4,1.88
seem/appear,0.0,0.0,2.75,2.75,0.42
second-person pronouns,1.26,0.0,15.8,15.8,4.33
disyllabic negation,2.06,0.0,8.35,8.35,1.75
third-person pronouns,16.35,1.63,47.79,46.16,11.53
unique words ratio,250.0,139.29,345.92,206.63000000000002,56.88
WH-words,1.17,0.0,4.23,4.23,1.46
honorifics,3.87,0.0,24.11,24.11,5.82
