abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
108.94,2.31,4.61,6.15,0.0,0.0,5.38,3.84,8.07,6.52,0.0,0.0,16.91,2.31,6.9,4.23,10.76,19.22,1.15,61.11,4.23,11.15,9.59,0.77,0.0,0.38,160.72,98.58,219.45,660.65,58.41,93.21,342.16,16.53,60.34,9.22,1.67,3.07,12.3,6.53,39.2,126.97,3.46,9.61,1.54,0.77,4.23,0.38,0.0,0.38,0.0,6.62,9.18,58.23
65.27,1.48,1.11,2.6,0.0,0.0,0.37,4.08,5.94,1.88,13.13,0.75,7.43,-0.74,10.5,8.17,12.62,18.93,2.23,56.05,4.08,16.7,18.0,11.25,7.88,0.37,175.92,120.03,230.14,628.3,57.9,61.89,254.31,14.11,66.82,5.2,1.6,4.08,19.67,2.6,34.91,205.55,0.0,11.14,2.97,0.74,7.05,2.25,0.0,2.6,0.0,5.13,8.22,30.73
45.47,0.38,5.35,1.53,0.0,0.44,0.38,4.97,17.2,9.18,17.93,2.62,15.29,3.44,10.49,4.59,13.0,25.23,4.59,73.01,4.59,19.5,9.62,4.37,3.94,1.15,189.33,111.94,224.39,610.33,42.43,29.73,196.33,6.5,44.34,7.65,1.55,3.82,18.35,4.59,35.56,314.82,0.38,15.67,0.0,0.0,14.91,2.19,0.0,0.76,4.81,6.44,8.61,30.76
66.37,2.01,0.81,4.83,0.0,0.0,1.21,4.03,4.83,2.8,2.4,1.6,8.86,1.21,10.0,5.23,10.87,9.26,1.21,36.23,2.82,13.69,15.59,2.8,0.0,1.21,171.13,122.35,230.68,650.28,76.89,71.17,274.69,17.71,86.55,9.66,1.55,4.03,18.52,0.4,31.02,238.7,0.4,10.47,0.0,0.0,5.23,0.4,0.0,0.0,0.4,4.49,7.42,29.12
110.31,0.0,2.69,1.92,0.77,0.0,0.77,3.46,8.84,4.4,0.0,0.0,8.07,4.23,7.59,15.38,15.76,17.69,2.69,58.82,8.46,18.84,19.58,4.0,0.4,1.92,163.87,96.32,230.3,594.39,47.29,103.92,335.33,17.3,60.36,7.3,1.69,5.77,34.99,7.3,37.68,183.85,3.84,9.61,1.15,0.38,6.15,0.0,0.0,0.38,0.0,4.82,8.13,36.89
87.94,1.53,4.96,4.2,0.76,0.8,2.29,4.96,7.63,8.75,1.19,0.4,9.92,5.72,7.16,4.58,16.41,30.14,3.43,77.45,8.39,19.08,9.95,2.79,0.8,3.05,162.75,146.04,212.9,606.64,37.78,47.35,222.05,9.54,46.17,8.78,1.61,0.76,24.42,1.14,30.52,290.09,1.91,14.88,0.38,0.76,9.92,3.98,0.0,1.91,1.19,4.95,7.66,28.9
74.07,4.08,1.63,2.86,0.0,0.0,2.04,1.63,3.67,3.55,0.0,1.18,8.17,0.0,5.12,8.98,16.73,16.73,2.86,53.86,3.26,20.81,5.52,1.18,1.18,1.63,150.91,102.05,233.37,641.22,73.03,41.77,228.13,16.73,71.4,5.3,1.62,4.49,24.48,0.41,23.67,294.72,0.41,9.38,1.22,0.41,8.16,2.36,0.0,0.0,0.0,5.92,8.65,32.38
42.83,3.17,1.19,3.96,0.0,0.4,1.58,2.77,9.9,7.21,3.2,2.8,10.7,1.19,6.81,8.71,15.44,20.19,3.96,74.43,3.96,17.81,10.41,6.41,4.0,1.98,162.53,167.33,190.42,625.84,55.03,26.82,205.36,10.69,39.59,4.75,1.57,1.98,18.21,3.17,29.73,237.39,3.56,11.88,2.77,0.79,5.54,6.0,0.0,0.79,0.0,3.82,7.03,31.86
56.97,0.0,0.0,1.2,0.0,0.0,0.4,6.01,7.61,2.05,0.0,1.64,9.6,0.8,9.43,5.61,14.02,14.02,0.0,32.04,0.8,8.41,8.61,2.05,0.82,0.4,139.34,90.98,314.38,720.46,98.52,53.28,291.39,23.63,125.35,8.41,1.62,1.6,11.61,0.8,21.23,236.89,1.6,7.61,0.0,0.0,2.8,0.82,0.0,0.0,1.23,5.58,8.8,28.05
65.44,1.15,0.77,1.92,0.0,0.0,0.38,0.77,1.92,1.23,2.45,1.23,8.05,2.69,7.77,10.36,15.73,16.11,1.92,45.65,3.07,10.74,12.68,5.32,2.45,0.0,171.78,110.02,220.18,617.99,57.54,34.36,223.72,11.12,53.32,11.12,1.6,0.77,19.56,3.84,29.21,271.57,1.92,12.27,1.15,0.77,7.67,4.09,0.0,0.0,0.0,5.24,8.4,37.81
