,Median,Min,Max,Range,IQR
average clause length,7.8,6.41,10.39,3.9800000000000004,1.23
amplifiers,9.68,2.87,19.58,16.709999999999997,3.66
monosyllabic negation,7.64,0.38,17.68,17.3,5.09
average sentence length,32.12,23.88,58.23,34.349999999999994,6.11
average sentence length'SD,20.34,13.88,44.25,30.369999999999997,7.47
auxiliary adjectives,7.48,3.54,28.51,24.970000000000002,3.62
average word length,1.62,1.55,1.74,0.18999999999999995,0.05
BE,13.89,5.24,23.18,17.939999999999998,4.75
disyllabic prepositions,3.06,0.76,7.43,6.67,2.06
classical function words,6.28,2.81,18.5,15.69,4.43
classical syntac,7.08,1.64,12.68,11.04,3.78
classifiers,20.07,11.03,34.99,23.96,9.96
conditional conjuncts,2.3,0.0,5.16,5.16,1.72
demonstrative pronouns,16.08,5.32,21.71,16.39,8.1
descriptive words,0.4,0.0,2.97,2.97,1.15
disyllabic verbs,86.6,70.32,108.95,38.63000000000001,8.87
disyllabic words,41.74,20.35,103.92,83.57,20.95
downtoners,1.62,0.0,7.88,7.88,1.78
emotion words,8.16,2.62,15.31,12.690000000000001,2.85
existential,4.08,0.0,8.46,8.46,2.18
exclamation,0.0,0.0,1.9,1.9,0.38
first-person pronouns,3.41,0.0,9.18,9.18,4.36
hedges,4.07,0.77,11.25,10.48,2.77
HSK 1,162.64,127.94,213.07,85.13,26.68
HSK 3,109.16,76.02,167.33,91.31000000000002,20.55
imperfect markers,10.7,4.98,20.62,15.64,3.28
indefinite pronouns,1.56,0.0,4.48,4.48,1.84
interrogative,2.93,0.0,6.15,6.15,2.06
intransitive verbs,15.92,7.34,38.14,30.8,5.19
lexical density,627.52,549.43,745.5,196.07000000000005,53.34
modifying adverbs,18.44,4.94,30.25,25.31,7.64
complement marker de,0.4,0.0,2.6,2.6,0.79
adverbial marker di,1.14,0.0,3.84,3.84,1.54
monosyllabic verbs,30.16,14.06,42.38,28.32,9.91
nominalisation,56.4,37.67,105.63,67.96,25.53
nouns excl. nominalisation,225.06,189.31,314.38,125.07,27.53
onomatopoeia,0.0,0.0,0.43,0.43,0.0
other personal pronouns,1.17,-9.61,6.74,16.35,2.85
modal particles,1.78,0.0,5.57,5.57,2.52
perfect aspect markers,7.61,2.68,20.64,17.96,4.6
Chinese person names,3.51,0.0,10.27,10.27,5.29
phrasal coordination,13.86,6.5,24.71,18.21,4.22
private verbs,8.52,3.8,17.55,13.75,3.87
public verbs,3.18,0.4,10.56,10.16,2.55
question,1.5,0.0,7.6,7.6,2.5
adverbs,59.16,29.27,81.84,52.57000000000001,19.24
simile,0.4,0.0,2.0,2.0,0.78
seem/appear,0.0,0.0,1.59,1.59,0.1
second-person pronouns,0.0,0.0,3.72,3.72,0.8
disyllabic negation,1.4,0.0,3.44,3.44,1.58
third-person pronouns,1.45,0.0,8.79,8.79,2.46
unique words ratio,244.98,126.97,314.82,187.85,43.63
WH-words,0.84,0.0,5.38,5.38,1.71
honorifics,1.82,0.0,21.57,21.57,3.01
