abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
23.34,1.67,8.76,4.59,0.83,6.67,0.0,7.09,12.51,6.67,0.42,5.84,23.77,9.59,20.01,0.83,17.93,24.19,5.0,82.15,4.59,17.51,15.84,2.08,0.42,5.42,282.62,200.92,149.71,542.95,18.77,11.25,140.06,11.68,27.11,8.34,1.42,0.42,28.77,11.68,45.45,249.27,7.92,20.43,3.34,4.17,16.68,23.34,0.42,2.92,0.42,5.27,8.16,23.99
10.76,2.47,14.84,4.95,6.6,6.62,2.89,13.6,14.01,28.97,11.18,1.66,17.72,2.47,8.69,0.0,16.49,31.74,3.3,80.38,7.42,23.5,16.97,1.66,0.41,2.89,336.92,226.82,147.98,502.68,8.24,2.9,98.92,2.89,28.85,5.36,1.29,0.0,44.11,9.07,56.49,183.77,7.83,25.56,4.12,4.12,21.02,37.67,0.83,5.36,0.0,4.76,7.75,28.81
17.7,3.31,13.25,5.8,2.07,7.0,1.24,7.04,16.15,32.11,6.18,3.71,11.18,4.14,16.06,0.41,16.15,31.47,2.07,80.33,6.63,13.25,12.76,0.82,0.41,0.83,305.48,187.32,187.16,552.84,16.97,2.88,134.62,4.14,29.81,4.14,1.32,0.0,36.44,0.83,63.82,251.96,4.97,19.88,2.48,4.55,9.94,30.88,0.41,2.48,2.47,3.75,6.81,33.2
11.51,6.42,6.42,7.27,2.14,2.98,2.14,8.13,11.98,2.98,13.21,4.69,7.7,1.28,10.66,2.14,18.82,28.66,4.28,75.71,11.12,29.08,25.58,2.98,1.28,1.71,260.02,146.63,209.58,553.94,20.1,7.25,133.42,8.13,47.05,2.99,1.33,0.0,37.64,14.11,47.09,252.77,5.13,9.84,2.99,1.71,6.84,25.15,0.0,0.86,0.85,6.33,7.23,29.08
39.03,0.85,9.8,7.24,0.0,10.18,1.7,8.52,17.9,34.79,16.12,6.36,28.12,10.65,18.24,1.7,23.86,38.77,1.7,99.7,7.67,20.88,21.21,5.09,3.39,6.82,361.05,206.62,120.15,543.25,29.83,14.43,119.64,10.23,20.03,2.98,1.38,1.7,34.09,11.08,31.53,142.55,3.41,21.73,1.28,1.28,14.49,20.36,0.42,2.98,4.67,3.64,7.69,24.33
36.32,9.64,10.85,11.65,2.01,7.11,4.82,14.46,30.94,25.27,3.95,5.53,14.06,8.04,15.79,0.8,23.7,31.74,2.41,106.47,11.25,19.69,25.66,3.95,2.37,0.8,286.22,155.94,132.18,541.0,27.72,14.61,128.31,9.64,18.08,6.83,1.37,0.0,22.9,6.83,34.97,204.11,0.4,10.85,1.61,1.61,6.83,3.16,0.0,3.21,0.39,4.71,6.21,24.32
12.44,1.26,8.81,2.1,1.68,14.93,0.42,1.26,12.17,14.93,3.73,0.83,10.49,0.84,10.37,4.62,14.69,20.98,1.68,69.66,5.46,12.17,9.12,1.24,0.41,0.42,242.64,140.61,182.96,537.56,25.6,12.03,138.12,4.2,28.12,3.78,1.4,0.42,31.05,15.95,59.17,284.94,5.87,13.85,2.1,1.26,3.36,15.35,0.0,3.36,1.66,4.35,6.75,26.4
15.4,5.93,29.26,4.35,3.16,7.11,0.79,23.72,12.65,30.79,12.63,3.16,29.26,2.77,27.64,0.0,12.26,31.63,4.74,76.71,3.56,9.89,13.42,0.39,0.79,1.58,309.51,198.58,144.72,521.15,8.7,3.55,87.64,5.54,10.68,1.98,1.27,0.0,21.75,3.16,49.43,111.73,4.74,21.35,5.14,2.77,15.03,36.32,0.0,3.16,1.97,3.06,5.74,17.22
31.13,1.62,3.64,3.24,2.43,3.99,0.0,2.02,6.48,5.19,0.8,2.0,11.33,1.21,13.57,4.86,15.79,18.62,2.43,48.58,8.1,19.43,10.77,3.19,1.6,0.4,239.43,135.67,241.7,521.47,28.75,16.76,123.3,9.31,45.75,2.43,1.65,3.24,38.46,0.4,23.1,235.04,1.62,15.79,0.81,0.4,7.69,8.78,0.0,0.0,30.73,4.75,8.35,46.26
4.04,3.72,5.79,4.55,5.79,1.62,0.83,10.34,6.62,0.81,5.25,1.21,15.3,0.41,7.67,9.93,13.23,17.78,4.14,76.1,7.86,18.2,19.39,2.42,1.21,0.83,173.26,123.18,215.05,543.01,16.96,7.67,113.49,8.68,43.42,2.07,1.33,1.24,31.84,39.7,55.42,236.27,1.24,14.89,2.89,1.65,11.17,4.04,1.21,1.24,0.0,4.49,6.76,25.9
