register,dimension1,dimension2,dimension3,dimension4,dimension5
general_fiction_01,7.895739594,10.43688326,-5.951462226,8.411256138,-1.143880623
general_fiction_02,11.83020165,12.04249605,-6.585470077,14.08987546,-0.933829731
general_fiction_03,8.783972093,4.711079242,-6.629942138,6.116328405,-0.694173094
general_fiction_04,7.203512962,12.49044843,-7.460624196,0.543998852,-0.531108114
general_fiction_05,18.74941367,21.33845139,-4.895366172,3.766127889,-1.161688812
general_fiction_06,20.50733065,15.50618953,-5.712126808,-2.337946936,-1.695943366
general_fiction_07,-1.155327299,-1.173025994,-7.961450287,1.155017696,-1.319364751
general_fiction_08,17.22275775,5.706759418,-7.989459828,7.883325047,-2.751789114
general_fiction_09,-4.169708407,1.209425667,-2.022885731,-3.662085473,{2.867638483}
general_fiction_10,-0.661138719,3.207202345,-10.16755953,0.757272918,-1.514242376
general_fiction_11,4.218422057,10.02805258,-10.15170613,-0.837084988,-1.064427415
general_fiction_12,2.000479675,-3.059745447,-5.159972849,13.25627879,-1.509621842
general_fiction_13,22.77614055,14.62460698,-7.243097344,5.091953288,-1.530693197
general_fiction_14,10.10549681,8.65719058,-4.889674824,7.201406925,-2.965485874
general_fiction_15,-1.256427301,0.041186961,-5.975900898,1.710399069,-2.427967085
general_fiction_16,13.36618825,16.08273637,-6.281334476,6.237728555,-2.588047005
general_fiction_17,8.738685236,6.521273096,-8.376294217,2.302021729,-2.541343835
general_fiction_18,-4.550398185,3.160661304,-6.424440352,10.67526294,-2.620648976
general_fiction_19,8.457036276,5.129426966,-6.80435218,6.758243898,-1.591636694
general_fiction_20,19.78847205,16.69147486,-5.484594102,6.79956371,-1.823297929
general_fiction_21,4.309234274,3.235906017,-10.1461565,3.507006868,-2.993710857
general_fiction_22,29.74877003,15.27119918,-7.416120967,1.859807361,-1.988000842
general_fiction_23,8.314747584,13.06376255,-9.80799089,1.252483557,-2.114942977
general_fiction_24,5.160617908,0.931019543,-8.443159518,9.639413902,-2.6122118
general_fiction_25,19.30222532,4.379134407,-10.18716897,5.385851776,-2.985812089
general_fiction_26,5.226587588,4.358658365,-5.77484731,4.016083134,-1.332779277
general_fiction_27,24.96299785,5.586814887,-6.547297452,0.710733352,-2.797004815
general_fiction_28,3.488040628,10.82785037,-7.226459514,15.39894953,-0.801815103
general_fiction_29,9.63117209,10.32788016,-7.164038627,6.446462079,-2.121059381
