,Median,Min,Max,Range,IQR
average clause length,6.4,5.04,9.43,4.39,1.43
amplifiers,12.87,6.17,25.66,19.490000000000002,6.06
monosyllabic negation,15.32,5.6,30.94,25.340000000000003,7.16
average sentence length,24.74,15.72,46.26,30.54,7.76
average sentence length'SD,17.08,9.48,30.83,21.349999999999998,7.91
auxiliary adjectives,3.94,0.39,8.34,7.95,3.09
average word length,1.4,1.27,1.65,0.3799999999999999,0.09
BE,17.51,7.2,27.04,19.84,5.54
disyllabic prepositions,0.8,0.0,3.84,3.84,1.19
classical function words,1.82,0.0,9.93,9.93,2.5
classical syntac,2.54,0.0,13.3,13.3,2.99
classifiers,31.65,17.77,49.92,32.150000000000006,7.53
conditional conjuncts,2.28,0.0,6.0,6.0,2.04
demonstrative pronouns,19.06,9.89,30.49,20.599999999999998,5.54
descriptive words,2.33,0.0,7.25,7.25,2.2
disyllabic verbs,55.65,34.24,72.98,38.74,8.87
disyllabic words,8.7,2.52,16.76,14.240000000000002,4.13
downtoners,1.23,0.38,3.66,3.2800000000000002,1.98
emotion words,12.42,5.76,27.64,21.880000000000003,5.72
existential,6.44,3.41,11.25,7.84,3.29
exclamation,2.0,0.0,7.65,7.65,2.87
first-person pronouns,8.94,0.0,76.92,76.92,24.65
hedges,2.07,0.39,5.09,4.7,1.64
HSK 1,273.78,173.26,361.05,187.79000000000002,49.46
HSK 3,152.45,109.74,226.82,117.08,43.88
imperfect markers,17.14,6.18,30.41,24.23,6.66
indefinite pronouns,3.36,0.83,10.43,9.6,2.8
interrogative,5.89,1.9,14.72,12.82,3.13
intransitive verbs,20.87,9.72,32.49,22.770000000000003,5.84
lexical density,532.92,474.95,579.87,104.92000000000002,22.66
modifying adverbs,28.65,11.2,51.9,40.7,8.55
complement marker de,2.66,0.0,8.13,8.13,1.79
adverbial marker di,3.23,0.4,8.0,7.6,3.56
monosyllabic verbs,47.17,23.1,63.82,40.72,10.76
nominalisation,20.2,8.24,30.14,21.9,10.29
nouns excl. nominalisation,162.64,115.71,241.7,125.99,41.33
onomatopoeia,0.58,0.0,4.14,4.14,1.67
other personal pronouns,3.64,0.41,11.15,10.74,4.75
modal particles,10.9,3.64,29.26,25.62,5.2
perfect aspect markers,16.76,3.78,28.0,24.22,7.88
Chinese person names,14.22,0.38,53.32,52.94,24.54
phrasal coordination,5.77,1.87,11.68,9.809999999999999,4.91
private verbs,16.22,7.7,29.26,21.560000000000002,11.89
public verbs,9.28,0.38,23.72,23.34,6.72
question,3.1,0.0,16.06,16.06,4.38
adverbs,81.26,45.22,110.38,65.16,16.41
simile,3.52,0.4,13.26,12.86,2.95
seem/appear,0.42,0.0,1.72,1.72,0.83
second-person pronouns,6.64,0.0,26.68,26.68,7.29
disyllabic negation,2.66,0.0,7.34,7.34,2.49
third-person pronouns,22.61,3.16,37.67,34.510000000000005,12.07
unique words ratio,236.72,111.73,284.94,173.20999999999998,44.5
WH-words,1.6,0.0,4.82,4.82,1.7
honorifics,6.15,0.4,34.97,34.57,6.32
