abstract,ACL,ACL_std,adversative_conj,AMP,analytic_negation,ASL,ASL_std,attributive_adjective,aux_adj,AWL,BE,book,BPIN,BYPA,CAUS,classical_functional_words,classical_syntax,classifier,CONC,COND,dash,DEMP,descriptive,di_verbs,disposal_marker_ba,disposal_marker_jiang,disyllabic_words,DPAR,DWNT,emotion,english,EX,exclamation,experiential,FPP,FPPH,HDG,honourifics,HSK_1,HSK_3,HSK_6,humbles,imperfect_aspect,INPR,interrogative,intransitive,JJ,KEMD,lexical_density,men_suffix,modify_adv,modify_marker_de,modify_marker_dedi,modify_marker_di,MOMD,mono_verbs,NEMD,nn,NOMZ,noun,onomatopoeia,OR,other_conj,other_personal,particle,PEAS,performative_verb,person,PHC,PIN,place,PRIV,PUBV,purpose_prep,question,quote,RB,similie,SMP,SPP,STTR,synthectic_negation,TIME,TPP,unique,verbverb,WH
14.71,6.38,4.16,1.99,15.51,22.91,22.29,18.98,2.59,3.89,1.36,19.02,0.43,0.43,0.86,2.39,0.43,1.99,24.21,1.99,3.89,7.35,17.73,1.3,213.54,3.89,0,8.35,0,0.8,15.9,2.39,6.92,3.89,3.03,29.42,1.99,1.99,7.95,292.25,145.53,105.37,1.59,19.89,3.98,3.46,28.97,37.61,1.99,690.1,0.86,44.1,3.03,33.72,3.89,5.17,187.5,5.17,18.59,19.89,128.84,0.86,1.99,8.21,1.3,14.7,18.59,0,18.16,5.62,35.02,25.94,18.58,6.49,0.4,9.51,10.38,101.17,3.03,0,14.31,354.67,1.73,9.51,10.74,239.76,25.51,0.86
11.54,6.14,3.56,1.99,11.94,28.61,18.47,15.74,1.11,2.23,1.39,23.04,1.49,0,0.74,3.18,0,1.99,26.38,0,1.11,38.28,36.79,0,159.39,2.23,0,12.34,0.8,0.8,11.54,0.4,3.72,17.09,1.11,10.75,0,0.8,3.18,222.53,175.96,129.78,1.19,11.15,2.79,10.41,23.41,25.64,1.99,698.29,0,24.15,2.23,27.5,2.6,4.38,240.99,4.38,12.63,10.03,129.32,1.11,1.99,6.69,11.89,90.67,11.15,0,20.81,1.49,18.58,9.66,12.64,11.52,0,0,0,78.41,0.37,0,7.56,348.33,0.37,7.06,12.34,231.69,21.18,5.57
14.58,6.14,4.17,0.38,8.06,22.44,18.9,14.18,3.31,2.21,1.39,24.65,9.93,0,0,3.07,2.21,0.38,17.29,0.38,0.37,98.23,35.69,1.1,134.48,1.47,0.37,10.74,0,0.38,11.51,0.77,8.09,0.37,4.78,11.51,1.92,0.77,12.27,278.86,166.47,115.46,4.6,7.36,6.52,18.4,12.88,20.97,2.3,684.48,0,22.81,1.84,16.92,0,6.52,193.1,7.29,18.76,6.99,167.4,0,0.38,1.1,18.4,46.73,12.88,0,62.18,0.37,20.24,12.88,31.27,9.57,0,12.14,0,64.75,0.37,0,15.73,313.77,1.47,7.73,11.89,184.5,15.82,5.89
10.85,5.49,5.36,0.42,12.52,20.02,52.24,75.62,2.27,0.38,1.26,11.71,0,0,1.51,0.83,2.27,1.25,22.67,0.83,1.13,14.36,18.13,2.64,212.12,2.27,0.76,1.67,0.83,1.25,14.19,3.34,8.69,1.89,1.89,26.29,3.34,2.09,4.17,277.13,143.99,109.77,0,19.27,7.93,6.42,20.4,48.36,1.67,721.21,0.38,26.07,0.76,42.69,6.04,4.59,173.33,5.01,11.71,20.02,143.18,0.38,0.42,7.18,4.53,21.53,11.33,0,3.4,6.42,28.33,15.11,18.13,13.6,0,5.67,21.53,86.51,0,0.42,11.69,265.03,0.76,5.67,9.18,155.68,21.53,2.64
4.74,3.71,3.18,0.4,17.4,23.94,12.38,13.97,46.64,6.6,1.27,9.91,0,0.41,2.89,0,1.24,0,38.38,1.19,0.83,40.03,15.68,3.3,179.44,9.08,0,0.79,0,1.58,7.51,5.54,8.25,3.71,1.24,23.33,1.19,0.79,10.28,279.95,145.91,72.36,0.4,7.84,3.56,10.32,40.03,45.4,0.79,741.94,1.24,28.89,3.3,8.25,0.41,8.3,202.62,7.91,26.41,7.43,182.83,0,0.4,3.3,6.6,9.91,9.08,0,17.33,2.06,30.13,22.29,12.8,7.43,0,2.06,0,84.19,1.24,0,34.4,193.36,0.41,10.32,3.95,95.69,24.35,4.54
19.45,5.41,4.02,1.24,14.89,18.79,19.83,17.68,3.52,4.7,1.35,18.01,0.39,3.13,3.13,3.31,2.35,4.96,38.37,1.24,1.96,0,27.41,1.96,179.14,3.13,0,8.69,0,0.83,16.55,4.55,4.31,1.96,2.35,21.93,0.83,4.55,2.9,280.1,129.09,123.71,0,20.36,3.31,9.4,15.66,27.41,6.21,715.42,0,28.97,2.35,39.55,6.26,7.45,173.47,7.03,35.63,13.71,182.85,1.96,1.24,5.48,2.35,10.57,9.79,0,26.62,5.09,35.63,38.37,24.68,8.61,0.83,3.52,0.39,77.13,4.31,0,19.03,329.33,2.74,5.09,10.34,205.63,19.19,2.35
12.91,6.06,4.45,1.56,10.56,10.98,16.99,17.29,8.33,3.41,1.29,10.98,0,0.76,3.03,5.87,1.89,1.96,25.37,1.17,2.27,11.36,14.77,1.51,212.7,3.03,0,6.65,0,0.78,9.78,3.91,3.41,6.82,1.89,12.91,0,0.39,24.26,270.74,151.02,94.68,4.3,18.93,2.74,4.54,16.28,26.13,3.52,717.46,0.38,14.01,3.41,30.29,6.44,9,162.96,9.78,26.88,20.45,165.85,0,1.56,3.79,3.79,18.17,9.84,0.38,43.17,4.17,37.49,35.59,15.52,17.04,0,2.65,25.37,52.63,2.27,0,24.26,253.91,1.51,10.98,5.09,159.23,21.2,0.38
13.98,6.28,4.03,0.4,14.38,14.92,23.08,20.58,5.97,2.24,1.32,16.78,0,0.37,2.24,4.79,1.12,0.8,39.91,0.4,1.49,57.44,11.94,1.12,193.2,2.24,0.37,5.99,0,0.8,15.97,0,9.32,5.22,0.37,25.16,3.19,2,5.99,312.3,178.12,110.22,0.8,13.05,8.39,25.74,23.5,26.86,4.39,738.76,0.37,23.5,1.86,27.6,0.75,6.39,155.53,6.39,19.02,15.29,202.16,0.37,0.4,6.71,2.98,16.78,10.82,0.37,5.59,2.24,27.23,16.41,15.3,7.09,0,27.23,13.05,66.77,1.12,0,12.38,292.73,3.73,5.59,23.56,179.71,22.75,7.83
15.84,6.19,4.14,1.09,10.65,19.7,17.87,13.5,4.55,1.89,1.34,18.19,1.14,3.03,1.52,4.37,1.89,0.55,26.53,0.27,1.52,25.77,16.67,0.76,182.35,0.76,0.38,7.65,0.27,1.09,11.75,0.27,6.06,5.68,1.14,24.58,8.19,0.82,7.1,299.1,178.91,101.07,2.73,10.61,5.46,10.61,19.7,42.44,2.19,745.88,0,22.74,7.58,37.14,3.79,7.92,135.29,9.01,25.01,23.5,150.44,0,1.09,4.17,7.96,24.63,11.75,0,5.31,12.13,28.8,15.54,20.46,11.75,0.82,13.26,28.8,66.31,1.89,0,10.93,254.85,3.79,10.23,18.57,143.68,16.67,5.31
15.28,8.62,4.33,1.75,13.97,17.89,29.53,20.3,7.91,3.33,1.34,16.65,1.25,2.08,1.25,3.93,1.25,0.44,29.96,3.06,2.5,15.4,12.48,1.25,200.23,3.75,0,5.68,0.44,0.87,17.9,2.62,5.41,2.08,0,54.59,0,4.37,2.18,322.71,194.76,116.59,0.87,7.49,0.87,6.66,24.14,30.38,8.73,718.07,0,21.64,2.91,39.53,4.58,6.55,162.26,7.42,20.39,15.4,175.2,0.42,1.75,8.74,8.74,11.65,14.57,1.25,27.05,4.58,22.47,19.14,19.98,15.4,0.44,4.58,19.98,75.74,2.91,0,13.1,325.76,0.83,6.66,16.59,206.55,17.89,2.08
