register,dimension1,dimension2,dimension3,dimension4,dimension5
humor_01,13.18655562,11.06180467,-9.653386804,3.606347427,-1.778403352
humor_02,27.5109262,5.89477976,-9.303250205,-1.909612536,-2.583678847
humor_03,33.56711353,5.881206894,-13.53967961,-3.084104829,-2.345062259
humor_04,17.83107171,4.776903243,-9.220583551,1.346293238,{1.40375256}
humor_05,19.23784774,3.978065458,-5.989897639,-1.643945429,-3.264977795
humor_06,12.29759325,7.158781602,-5.989150401,3.612525387,-2.038331303
humor_07,16.16312042,-1.518284342,-10.21107883,2.544319952,-2.135086946
humor_08,30.82785806,6.22399018,-6.97711155,-0.721050962,-2.019199332
humor_09,23.71834339,5.566750604,-5.109586654,4.144884027,-2.498814808
humor_10,13.87778824,5.838433426,-7.959179967,1.598731613,-0.486815717
humor_11,32.99726684,2.690598888,-7.621356509,-0.853747488,-2.191856184
humor_12,20.7403125,1.417972124,-10.09602132,-0.851711203,-4.147985233
humor_13,37.55372562,7.351968692,-11.25979701,0.091435185,-1.50470593
humor_14,25.5489603,5.517048342,-15.38225717,-3.394747374,{9.112434131}
humor_15,20.57984969,6.010980432,-12.21298601,-0.610854026,-2.864764917
humor_16,15.48533545,-0.037096266,-5.892126152,-1.810455606,-1.412587993
humor_17,22.55192414,-1.890763103,-8.759112459,6.622591449,-3.54961016
humor_18,16.6851117,5.410468444,-5.906337408,0.237016287,-2.328972974
humor_19,20.74070337,7.127953537,-12.2005284,-1.622769592,-2.272766574
humor_20,28.09529613,8.623784996,-14.99169768,-5.088562368,-1.520659386
humor_21,18.93892067,8.47557065,-7.431229053,-4.400911196,-0.653332811
humor_22,29.85434804,-0.499574956,-7.318191426,-3.315518115,-2.76087729
humor_23,24.96653881,4.14100491,-5.526367786,-0.338346374,-3.622151502
humor_24,36.70709725,0.492142026,-7.430398785,0.554149668,-3.444235649
humor_25,26.57221485,2.642509209,-10.39157566,-2.233900617,-2.715020292
humor_26,27.23301432,0.6107878,-8.526984778,1.830027756,-2.112042729
humor_27,23.57449425,2.22501124,-10.9231454,-0.339358124,-2.398858464
humor_28,21.96234637,1.538559939,-11.30744798,-0.092956943,-1.940277346
humor_29,28.15055185,3.633713745,-17.16519058,-2.394247479,-4.043409899
humor_30,28.93131241,-0.87478083,-14.69521715,-4.731112937,{-4.504837071}
humor_31,24.65229847,1.412198766,-12.36519924,0.843552924,-2.933176992
humor_32,29.42063006,2.97232713,-9.434583202,2.304689864,-2.290997811
