abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
14.71,9.51,14.7,3.46,3.89,14.31,0.86,6.49,22.91,29.42,7.95,3.98,18.58,1.3,15.9,0.43,19.02,44.1,3.89,101.17,6.92,17.73,15.51,1.99,0.8,1.73,292.25,145.53,128.84,544.94,19.89,8.35,105.37,5.62,18.59,3.89,1.36,0.43,24.21,18.16,52.29,239.76,3.89,19.89,1.3,3.03,18.59,10.74,0.0,3.03,2.39,4.16,6.38,22.29
11.54,0.0,90.67,10.41,17.09,7.56,5.57,11.52,28.61,10.75,3.18,2.79,12.64,11.89,11.54,0.0,23.04,24.15,1.11,78.41,3.72,36.79,11.94,0.8,0.8,0.37,222.53,175.96,129.32,442.59,10.03,12.34,129.78,1.49,12.63,2.23,1.39,0.0,26.38,20.81,40.88,231.69,2.6,11.15,0.0,0.37,11.15,12.34,0.0,2.23,0.4,3.56,6.14,18.47
14.58,12.14,46.73,18.4,0.37,15.73,5.89,9.57,22.44,11.51,12.27,6.52,31.27,18.4,11.51,2.21,24.65,22.81,0.37,64.75,8.09,35.69,8.06,0.77,0.38,1.47,278.86,166.47,167.4,451.84,6.99,10.74,115.46,0.37,18.76,2.21,1.39,0.0,17.29,62.18,34.19,184.5,0.0,7.36,1.1,0.37,12.88,11.89,0.0,1.84,0.77,4.17,6.14,18.9
10.85,5.67,21.53,6.42,1.89,11.69,2.64,13.6,20.02,26.29,4.17,7.93,18.13,4.53,14.19,2.27,11.71,26.07,1.13,86.51,8.69,18.13,12.52,2.09,1.25,0.76,277.13,143.99,143.18,513.8,20.02,1.67,109.77,6.42,11.71,0.38,1.26,0.0,22.67,3.4,46.12,155.68,6.04,19.27,2.64,0.0,11.33,9.18,0.42,0.76,3.34,5.36,5.49,52.24
4.74,2.06,9.91,10.32,3.71,34.4,4.54,7.43,23.94,23.33,10.28,3.56,12.8,6.6,7.51,1.24,9.91,28.89,0.83,84.19,8.25,15.68,17.4,0.79,1.58,0.41,279.95,145.91,182.83,600.82,7.43,0.79,72.36,2.06,26.41,6.6,1.27,0.41,38.38,17.33,70.52,95.69,0.41,7.84,3.3,1.24,9.08,3.95,0.0,3.3,5.54,3.18,3.71,12.38
19.45,3.52,10.57,9.4,1.96,19.03,2.35,8.61,18.79,21.93,2.9,3.31,24.68,2.35,16.55,2.35,18.01,28.97,1.96,77.13,4.31,27.41,14.89,4.55,0.83,2.74,280.1,129.09,182.85,527.8,13.71,8.69,123.71,5.09,35.63,4.7,1.35,3.13,38.37,26.62,51.29,205.63,6.26,20.36,1.96,4.31,9.79,10.34,0.0,2.35,4.55,4.02,5.41,19.83
12.91,2.65,18.17,4.54,6.82,24.26,0.38,17.04,10.98,12.91,24.26,2.74,15.52,3.79,9.78,1.89,10.98,14.01,2.27,52.63,3.41,14.77,10.56,0.39,0.78,1.51,270.74,151.02,165.85,504.55,20.45,6.65,94.68,4.17,26.88,3.41,1.29,0.76,25.37,43.17,47.73,159.23,6.44,18.93,1.51,2.27,9.84,5.09,0.0,3.41,3.91,4.45,6.06,16.99
13.98,27.23,16.78,25.74,5.22,12.38,7.83,7.09,14.92,25.16,5.99,8.39,15.3,2.98,15.97,1.12,16.78,23.5,1.49,66.77,9.32,11.94,14.38,2.0,0.8,3.73,312.3,178.12,202.16,515.11,15.29,5.99,110.22,2.24,19.02,2.24,1.32,0.37,39.91,5.59,38.79,179.71,0.75,13.05,1.12,1.12,10.82,23.56,0.0,1.86,0.0,4.03,6.28,23.08
15.84,13.26,24.63,10.61,5.68,10.93,5.31,11.75,19.7,24.58,7.1,5.46,20.46,7.96,11.75,1.89,18.19,22.74,1.52,66.31,6.06,16.67,10.65,0.82,1.09,3.79,299.1,178.91,150.44,492.8,23.5,7.65,101.07,12.13,25.01,1.89,1.34,3.03,26.53,5.31,35.61,143.68,3.79,10.61,0.76,1.89,11.75,18.57,0.0,7.58,0.27,4.14,6.19,17.87
15.28,4.58,11.65,6.66,2.08,13.1,2.08,15.4,17.89,54.59,2.18,0.87,19.98,8.74,17.9,1.25,16.65,21.64,2.5,75.74,5.41,12.48,13.97,4.37,0.87,0.83,322.71,194.76,175.2,528.51,15.4,5.68,116.59,4.58,20.39,3.33,1.34,2.08,29.96,27.05,49.94,206.55,4.58,7.49,1.25,2.91,14.57,16.59,0.0,2.91,2.62,4.33,8.62,29.53
