,Median,Min,Max,Range,IQR
average clause length,5.5,3.13,10.97,7.840000000000001,1.42
amplifiers,12.69,5.96,23.73,17.77,4.42
monosyllabic negation,17.69,9.59,30.0,20.41,6.6
average sentence length,19.81,8.56,77.86,69.3,5.72
average sentence length'SD,16.84,6.53,205.53,199.0,5.36
auxiliary adjectives,2.22,0.38,6.6,6.22,1.89
average word length,1.35,1.26,1.54,0.28,0.09
BE,14.47,8.82,24.65,15.829999999999998,4.44
disyllabic prepositions,0.4,0.0,3.13,3.13,0.8
classical function words,1.2,0.0,4.65,4.65,1.41
classical syntac,1.06,0.0,4.96,4.96,1.53
classifiers,26.46,15.55,42.94,27.389999999999997,9.68
conditional conjuncts,1.44,0.0,3.89,3.89,1.5
demonstrative pronouns,17.52,9.47,36.79,27.32,11.77
descriptive words,1.11,0.0,5.51,5.51,1.18
disyllabic verbs,45.2,18.56,65.15,46.59,15.15
disyllabic words,6.06,0.0,15.91,15.91,5.7
downtoners,0.8,0.0,2.08,2.08,0.79
emotion words,14.8,7.51,28.93,21.42,4.39
existential,5.94,2.8,12.0,9.2,2.89
exclamation,8.16,0.37,20.12,19.75,8.57
first-person pronouns,23.52,5.41,54.59,49.18000000000001,9.63
hedges,1.05,0.0,4.55,4.55,1.57
HSK 1,274.12,182.58,322.71,140.12999999999997,31.98
HSK 3,153.3,111.77,194.76,82.99,26.68
imperfect markers,10.74,3.32,21.66,18.34,4.79
indefinite pronouns,4.28,0.44,16.4,15.959999999999999,2.98
interrogative,10.4,3.15,26.82,23.67,3.46
intransitive verbs,20.94,11.21,40.03,28.82,6.15
lexical density,483.58,350.2,600.82,250.62000000000006,56.19
modifying adverbs,23.05,14.0,44.1,30.1,2.73
complement marker de,2.21,0.41,7.58,7.17,1.03
adverbial marker di,3.04,0.0,8.33,8.33,4.97
monosyllabic verbs,44.27,32.39,70.52,38.129999999999995,9.98
nominalisation,12.26,1.97,23.5,21.53,8.49
nouns excl. nominalisation,158.62,89.27,224.97,135.7,37.6
onomatopoeia,0.5,0.0,3.01,3.01,0.81
other personal pronouns,4.73,1.3,18.4,17.099999999999998,4.97
modal particles,26.64,9.91,90.67,80.76,26.38
perfect aspect markers,12.58,2.37,21.62,19.25,5.78
Chinese person names,25.46,2.0,100.4,98.4,35.99
phrasal coordination,2.77,0.0,12.13,12.13,3.51
private verbs,17.06,6.0,31.27,25.27,5.25
public verbs,11.9,5.6,27.62,22.020000000000003,9.68
question,11.11,0.0,27.23,27.23,8.33
adverbs,67.03,48.4,101.17,52.77,9.13
simile,1.21,0.0,4.31,4.31,1.44
seem/appear,0.0,0.0,1.19,1.19,0.0
second-person pronouns,16.97,4.58,51.58,47.0,9.82
disyllabic negation,1.64,0.0,3.94,3.94,1.72
third-person pronouns,9.67,2.24,34.14,31.9,7.02
unique words ratio,173.02,94.89,304.02,209.13,66.42
WH-words,3.26,0.38,7.83,7.45,2.33
honorifics,8.77,1.99,32.9,30.91,10.02
