abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
11.21,1.66,9.12,2.07,1.24,4.81,1.24,4.56,12.86,10.01,0.8,6.01,13.27,2.9,14.02,3.73,15.35,25.3,2.9,79.64,6.22,12.44,18.02,2.0,2.0,5.39,267.52,200.64,191.62,538.17,27.79,10.41,126.55,7.88,30.28,1.24,1.33,2.49,31.52,19.91,50.21,239.89,4.15,17.01,3.32,4.15,23.23,18.82,1.6,3.32,0.4,4.52,7.19,24.22
11.1,8.34,23.34,8.34,2.92,6.74,2.08,9.17,20.01,3.17,2.77,1.59,15.84,9.17,15.46,1.67,11.67,28.35,4.59,76.7,5.84,19.17,17.44,2.38,0.79,3.33,227.51,164.09,140.48,482.61,13.75,5.95,111.38,4.59,19.59,3.33,1.36,1.25,36.68,21.26,48.18,250.5,4.17,20.43,1.67,4.59,13.76,15.06,0.0,1.67,0.0,3.6,6.58,33.56
2.82,9.91,9.08,6.61,1.24,6.04,2.06,7.43,11.15,7.65,7.25,3.22,18.99,2.48,6.44,1.65,12.39,22.3,2.06,63.17,5.78,13.63,13.29,1.61,1.61,2.06,217.88,147.4,199.83,546.24,26.01,4.43,108.74,4.13,42.94,2.48,1.35,0.83,34.68,9.91,54.91,213.45,5.37,19.41,5.78,4.95,10.73,10.47,1.61,2.06,0.0,3.18,5.86,22.21
20.56,7.77,6.96,4.5,0.82,5.24,0.82,4.91,9.41,27.01,1.61,2.82,14.73,2.86,16.12,5.73,15.14,23.32,1.64,66.69,6.14,24.14,14.51,3.22,3.22,2.86,311.57,179.36,198.45,535.6,25.78,8.06,116.08,11.87,43.78,5.32,1.36,2.86,34.78,16.37,41.73,189.84,0.82,16.37,4.5,1.64,13.5,13.3,1.61,1.23,0.0,3.52,6.61,33.44
25.28,10.28,13.84,7.91,1.19,9.33,2.77,5.93,16.61,18.67,0.0,5.06,17.0,6.72,7.0,8.7,10.68,27.68,3.16,88.57,4.74,14.63,14.78,4.67,1.17,2.77,310.77,191.75,177.54,556.0,17.01,13.22,124.85,2.77,30.45,4.35,1.36,0.4,26.49,15.82,48.28,140.41,6.72,14.23,1.98,3.16,5.93,9.72,0.39,1.58,3.11,3.66,6.58,21.55
33.17,1.24,12.79,6.19,0.41,7.37,0.83,12.79,12.38,38.49,5.32,3.28,14.04,6.6,9.01,2.06,21.87,33.02,1.24,92.03,9.91,24.35,15.15,6.55,3.69,1.65,313.27,171.17,165.08,534.46,24.35,8.19,136.36,11.97,26.0,3.71,1.41,2.89,39.62,4.95,42.92,204.34,3.3,13.21,0.0,2.06,13.62,15.56,1.64,2.89,2.46,3.78,7.11,21.19
22.04,2.91,14.56,7.07,1.25,1.57,2.91,12.48,18.72,29.12,2.75,0.39,12.9,10.82,7.48,4.58,12.06,24.96,1.66,76.12,5.41,24.13,16.53,5.12,3.15,0.83,300.28,152.3,174.71,530.59,13.31,14.95,133.41,2.5,24.96,1.66,1.41,0.83,34.53,12.48,64.09,205.43,3.74,10.82,3.33,1.25,22.88,15.74,1.97,2.5,0.39,3.02,6.24,21.1
15.8,4.98,4.98,5.4,0.42,7.7,2.91,6.23,16.2,4.86,2.43,3.24,22.43,2.49,11.75,4.15,22.43,20.76,7.06,77.66,7.48,24.5,14.18,0.81,1.22,4.15,245.04,133.25,177.33,536.13,26.99,13.77,153.5,4.57,30.73,3.32,1.39,1.25,33.22,16.61,38.62,257.59,4.57,20.35,3.74,1.66,21.18,19.44,0.41,2.49,0.41,6.28,8.75,28.04
16.09,4.09,6.54,5.72,1.23,5.36,2.45,4.9,10.63,15.26,8.66,0.83,16.76,2.86,13.61,3.68,11.85,22.89,2.86,71.92,4.09,18.39,16.09,3.3,0.83,0.82,255.36,150.17,184.72,538.02,25.34,11.55,145.63,6.54,21.25,2.86,1.4,2.04,35.96,17.57,54.78,269.39,1.63,24.93,8.99,2.86,12.26,11.14,0.41,5.31,0.0,4.77,7.91,27.51
14.48,8.42,13.89,8.42,5.05,3.62,4.21,15.15,14.73,9.25,6.84,4.83,21.89,0.84,9.25,2.53,14.31,23.15,0.42,68.18,6.73,12.21,15.28,2.01,0.4,1.68,274.63,167.67,161.2,500.42,15.57,7.64,99.32,2.1,22.31,3.79,1.34,2.95,23.99,63.97,53.45,209.09,6.73,10.1,3.37,0.84,15.15,21.31,0.4,2.95,2.01,4.03,6.51,14.45
