register,dimension1,dimension2,dimension3,dimension4,dimension5
mystery_fiction_01,3.415392717,9.480103067,-7.29927951,9.241111897,-1.53240901
mystery_fiction_02,10.72417856,7.840392493,-9.008691249,3.358034194,-1.020831184
mystery_fiction_03,7.984361194,1.429994636,-7.231551106,7.996190738,-2.416281872
mystery_fiction_04,3.056448901,8.770765657,-4.170928723,3.541567711,-1.046330445
mystery_fiction_05,10.86796075,8.024990837,-5.930298874,1.684097982,-1.854547136
mystery_fiction_06,8.96477685,14.98554103,-2.357719434,3.492200581,-1.812115326
mystery_fiction_07,8.214615926,7.95173663,-6.49556523,6.387275247,-2.438554283
mystery_fiction_08,5.816220565,10.06417064,-7.747545713,6.075058143,-0.35330957
mystery_fiction_09,3.667339813,3.057995751,-7.308889474,8.578480661,-1.024286395
mystery_fiction_10,14.37477668,2.634351961,-11.38343463,4.226139587,-2.602244525
mystery_fiction_11,8.104732667,-0.878092979,-10.00994305,6.866271545,-2.636640767
mystery_fiction_12,3.771605801,2.403557164,-7.672775715,7.048250272,-1.962507389
mystery_fiction_13,15.71706656,7.073553461,-7.35431274,5.116670818,-2.100392083
mystery_fiction_14,15.58801128,7.811133061,-7.729376828,1.74740692,-1.732867591
mystery_fiction_15,8.321652674,-1.123871057,-6.968102225,3.805054907,-1.775996465
mystery_fiction_16,5.710667861,9.081863581,-6.384615673,2.237807075,-1.991761379
mystery_fiction_17,12.54814764,8.766180819,-9.056797553,4.161693367,-2.25333906
mystery_fiction_18,11.93346566,7.487506591,-7.262892837,3.618728668,-1.732828756
mystery_fiction_19,8.352942833,6.652314246,-7.861520069,6.543887289,-1.754893409
mystery_fiction_20,4.486061246,-3.111486979,-9.60431287,6.936715825,-1.780947824
mystery_fiction_21,11.58341892,2.572241249,-7.107250548,0.897601057,-1.287820196
mystery_fiction_22,10.34833148,9.371891013,-9.176533599,8.277208726,-2.08525604
mystery_fiction_23,-1.347345517,5.618116278,-4.216880016,9.947739106,-2.134226445
mystery_fiction_24,4.639946481,6.794546175,-5.343795642,9.826918989,-1.957305095
mystery_fiction_25,8.793556269,4.305439506,-8.31048415,16.53073074,-2.290189586
mystery_fiction_26,8.124374267,5.802330328,-10.91485452,8.524171341,-3.119903105
mystery_fiction_27,9.036575089,5.478411278,-8.191625617,3.687197139,-1.325625878
mystery_fiction_28,9.212690758,8.853264359,-9.605251886,4.120422071,-1.847378423
mystery_fiction_29,14.24671739,15.15567767,-6.90164368,0.498165979,-1.056210311
mystery_fiction_30,9.634129466,12.2780924,-5.709624609,4.792400314,-1.012760995
mystery_fiction_31,5.461876364,13.81215437,-6.078633743,3.581757188,-0.589999407
mystery_fiction_32,3.856665007,4.063144722,-8.12682486,11.62776747,-1.090387815
