abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
100.04,0,0,0.81,0.0,0.0,0,0.0,2.04,0.0,0.0,0.81,11.4,-0.41,8.13,4.07,15.88,5.29,0.0,37.46,1.22,16.69,3.66,4.07,0.81,0.41,149.65,73.2,282.98,728.83,111.57,78.49,358.28,27.69,114.41,17.51,1.64,5.7,13.03,0.81,11.81,113.46,0.81,10.99,0.41,0.41,2.44,0.0,0,0.0,0.0,6.92,10.59,48.16
113.12,0,0,0.0,0.0,0.42,0,0.42,2.08,1.26,0.0,0.0,4.58,-1.25,2.52,3.33,0.42,3.33,0.0,14.98,0.0,19.13,0.0,2.52,0.0,0.0,85.37,61.4,347.75,819.47,143.92,71.49,368.38,23.29,188.44,3.74,1.71,8.74,32.03,0.83,6.24,104.71,0.0,2.08,0.0,0.0,1.25,0.0,0,0.0,5.47,14.49,15.07,40.72
95.22,0,0,0.0,0.0,0.0,0,0.0,0.41,0.0,9.72,0.41,5.31,-1.22,2.43,5.71,0.82,6.53,0.0,16.32,1.63,10.61,0.0,4.05,0.0,0.0,73.34,71.31,344.76,785.8,111.38,78.61,400.32,18.36,152.59,14.28,1.69,6.12,4.9,0.0,12.24,153.97,0.0,4.08,0.41,0.0,0.0,0.0,0,0.0,0.0,6.96,10.16,28.02
104.53,0,0,0.0,0.0,0.42,0,0.0,2.11,0.0,12.7,0.0,7.58,-1.69,8.89,4.64,1.69,5.48,0.0,19.38,2.11,8.85,2.96,3.81,0.0,0.0,113.42,78.71,332.91,797.72,112.09,84.21,351.25,22.76,151.71,15.59,1.8,3.37,8.85,0.42,11.8,135.84,0.42,4.21,0.0,0.0,0.42,0.0,0,0.0,0.0,5.39,9.31,19.02
139.26,0,0,0.0,0.0,0.0,0,0.0,0.41,0.0,0.0,0.0,6.61,-2.07,5.37,4.55,3.72,9.92,0.83,15.3,0.41,4.13,3.72,1.24,0.0,0.0,80.17,62.81,329.47,806.95,124.85,100.41,470.66,26.46,155.02,14.06,1.72,4.13,3.72,0.0,9.92,151.24,1.24,6.2,0.0,0.0,0.0,0.0,0,0.0,0.0,4.93,9.66,25.01
148.27,0,0,0.0,0.0,0.4,0,0.0,1.63,0.4,0.81,0.0,4.07,-1.22,6.04,2.44,0.41,4.48,0.0,15.47,0.0,4.48,2.82,4.03,0.0,0.0,70.91,59.23,335.91,782.17,120.93,77.76,407.74,36.24,150.65,15.47,1.73,0.41,11.4,0.0,7.74,155.12,0.81,4.48,0.41,0.0,0.81,0.0,0,0.0,0.4,4.68,7.8,20.39
96.25,0,0,0.0,0.0,0.0,0,0.0,5.32,0.0,0.44,0.44,3.55,-0.89,11.04,3.99,0.0,5.76,0.0,17.28,3.54,12.41,0.88,10.15,0.0,0.0,89.62,77.26,329.2,773.15,108.99,68.43,372.19,20.38,145.33,17.72,1.67,3.99,17.28,2.66,9.75,143.05,1.33,4.87,0.44,0.0,0.0,0.44,0,0.0,0.0,6.58,10.62,38.05
108.75,0,0,2.04,0.0,0.0,0,0.82,3.27,0.0,1.23,1.64,7.76,0.41,4.5,2.86,0.82,11.85,0.0,31.05,0.41,5.31,7.36,0.82,0.41,0.0,96.08,87.9,295.34,778.91,102.12,97.3,367.13,26.55,118.06,20.42,1.68,6.54,5.72,0.82,17.16,185.61,1.23,4.08,0.41,0.41,2.04,0.0,0,0.0,0.41,6.13,10.16,31.6
100.16,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.0,5.24,-0.81,3.22,3.23,1.21,11.3,0.0,19.38,2.02,4.44,5.23,1.61,0.0,0.4,77.23,73.21,310.86,810.25,140.49,95.74,367.26,18.57,156.24,14.13,1.72,2.02,9.69,0.4,14.94,172.97,2.42,6.06,0.0,0.0,0.81,0.0,0,0.0,0.0,7.04,9.4,26.01
156.3,0,0,0.0,0.0,0.0,0,1.28,2.14,1.73,0.43,0.0,6.42,-2.57,1.3,3.85,7.27,5.99,0.43,26.95,0.86,3.85,8.2,9.5,0.43,0.43,109.67,73.4,280.15,808.81,141.14,96.29,386.44,20.1,136.01,24.81,1.74,5.56,5.99,0.86,10.27,140.76,1.28,4.7,0.0,0.0,1.71,0.0,0,0.0,0.0,5.74,8.98,33.04
