,Median,Min,Max,Range,IQR
average clause length,10.16,7.8,15.85,8.05,2.16
amplifiers,3.12,0.0,9.77,9.77,4.06
monosyllabic negation,1.65,0.0,5.32,5.32,1.72
average sentence length,33.12,19.02,125.65,106.63000000000001,12.31
average sentence length'SD,22.35,8.93,406.46,397.53,8.22
auxiliary adjectives,12.54,1.34,24.81,23.47,8.91
average word length,1.72,1.62,1.81,0.18999999999999995,0.05
BE,1.66,0.0,15.88,15.88,3.18
disyllabic prepositions,4.06,0.0,8.74,8.74,3.95
classical function words,3.82,1.24,21.53,20.290000000000003,1.61
classical syntac,2.88,0.82,11.96,11.14,2.09
classifiers,10.76,2.83,51.32,48.49,13.68
conditional conjuncts,0.0,0.0,1.25,1.25,0.44
demonstrative pronouns,7.58,0.41,19.13,18.72,8.1
descriptive words,0.0,0.0,0.85,0.85,0.1
disyllabic verbs,81.12,48.02,100.36,52.339999999999996,18.33
disyllabic words,78.12,42.02,104.96,62.93999999999999,27.81
downtoners,0.0,0.0,1.66,1.66,0.4
emotion words,4.84,0.86,17.49,16.63,4.97
existential,1.27,0.0,6.88,6.88,1.68
exclamation,0.0,0.0,1.66,1.66,0.0
first-person pronouns,0.0,0.0,36.12,36.12,0.42
hedges,2.46,0.39,10.15,9.76,2.82
HSK 1,87.5,39.89,151.72,111.83,39.11
HSK 3,72.96,24.09,90.95,66.86,13.77
imperfect markers,4.69,1.6,15.16,13.56,5.29
indefinite pronouns,0.0,0.0,1.64,1.64,0.42
interrogative,0.0,0.0,2.04,2.04,0.0
intransitive verbs,14.11,5.29,35.88,30.590000000000003,5.57
lexical density,776.94,637.88,884.44,246.56000000000006,77.82
modifying adverbs,7.94,0.0,14.68,14.68,5.22
complement marker de,0.0,0.0,0.89,0.89,0.0
adverbial marker di,0.81,0.0,2.51,2.51,1.25
monosyllabic verbs,12.96,6.24,26.01,19.770000000000003,5.65
nominalisation,111.48,65.92,198.73,132.81,26.98
nouns excl. nominalisation,312.1,235.57,398.59,163.01999999999998,43.44
onomatopoeia,0.0,0.0,0.84,0.84,0.0
other personal pronouns,-0.84,-8.61,1.65,10.26,1.78
modal particles,0.0,0.0,0.0,0.0,0.0
perfect aspect markers,1.03,0.0,8.76,8.76,2.6
Chinese person names,0.83,0.0,27.57,27.57,1.68
phrasal coordination,23.0,10.7,40.05,29.349999999999998,10.28
private verbs,5.45,1.2,14.27,13.07,3.82
public verbs,0.0,0.0,3.37,3.37,0.95
question,0.0,0.0,0.0,0.0,0.0
adverbs,18.84,4.4,47.37,42.97,13.95
simile,0.0,0.0,1.25,1.25,0.0
seem/appear,0.0,0.0,0.0,0.0,0.0
second-person pronouns,0.0,0.0,0.42,0.42,0.0
disyllabic negation,0.0,0.0,1.67,1.67,0.41
third-person pronouns,0.0,0.0,0.44,0.44,0.0
unique words ratio,158.19,94.21,245.2,150.99,42.0
WH-words,0.0,0.0,0.0,0.0,0.0
honorifics,0.42,0.0,22.86,22.86,1.42
