abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
18.39,5.39,10.79,3.85,3.85,6.13,1.16,9.63,14.64,42.09,8.17,3.27,21.96,8.86,15.53,2.7,19.26,25.42,3.47,78.58,6.93,24.27,13.08,2.45,1.23,1.16,270.54,139.76,144.84,524.67,28.51,8.58,113.61,5.78,26.58,3.08,1.45,1.16,27.73,0.77,40.48,240.7,5.01,11.56,10.02,2.7,11.56,5.31,0.41,1.54,0.41,4.71,6.94,23.96
15.42,9.32,24.07,13.2,10.87,7.5,7.38,7.38,18.25,3.75,10.84,6.25,23.28,3.88,10.42,0.78,15.92,33.39,5.05,93.56,6.21,26.79,15.01,2.5,1.25,1.16,256.36,169.65,135.09,505.05,14.75,7.5,123.8,5.05,14.36,3.88,1.45,0.78,28.73,8.93,55.12,259.69,6.6,17.86,1.94,1.94,11.65,31.26,2.5,2.33,0.0,4.63,7.91,28.24
18.06,15.45,16.58,11.31,14.32,16.1,4.52,3.02,7.16,40.83,0.0,7.07,16.96,4.52,16.49,2.26,18.09,19.6,1.51,68.22,2.26,22.62,10.21,3.14,2.75,4.52,288.57,124.85,137.2,452.7,27.14,12.96,108.36,8.29,17.72,1.51,1.42,1.88,16.58,2.26,37.32,189.24,1.88,31.66,3.02,0.38,19.98,22.38,3.14,4.15,20.02,4.7,7.38,16.94
8.51,5.86,27.35,10.16,13.29,13.78,0.78,7.82,16.41,7.7,4.46,6.89,16.4,1.56,17.83,0.39,10.16,21.49,0.39,72.29,4.69,16.41,14.18,0.81,2.03,0.78,258.51,156.0,128.96,454.87,12.11,4.86,104.94,0.39,20.32,3.91,1.35,0.39,44.55,23.84,55.1,140.6,7.03,31.26,3.13,3.13,38.69,17.83,1.62,1.95,0.0,4.53,7.06,29.46
5.42,5.42,13.37,2.17,1.08,7.36,1.81,11.2,14.81,3.48,0.77,0.0,15.18,2.89,10.84,5.06,15.17,24.93,1.08,91.4,2.53,10.48,10.07,0.0,1.55,2.17,147.5,96.79,246.75,585.26,9.03,2.71,126.98,5.78,30.35,2.89,1.36,1.45,19.15,12.64,60.69,225.71,0.36,18.79,4.34,1.81,13.01,6.58,0.0,2.17,0.77,2.92,5.57,21.27
27.68,3.29,5.77,7.41,0.41,0.0,5.35,2.88,15.24,1.22,0.0,1.22,12.36,0.82,7.33,0.41,9.06,25.54,7.0,77.43,11.12,11.94,16.28,8.55,3.66,5.35,223.85,172.16,251.24,628.5,22.24,13.84,134.72,11.53,51.48,10.3,1.46,1.24,17.71,0.82,21.83,133.9,0.0,9.47,0.41,0.82,13.18,1.63,0.0,1.65,0.0,5.9,7.24,19.65
28.87,0.85,2.97,2.55,1.27,5.94,1.27,1.7,12.32,51.38,0.42,0.42,14.44,10.62,11.89,1.7,11.9,28.05,8.5,82.45,5.52,21.25,11.46,2.97,2.12,0.42,298.09,205.1,136.42,494.69,25.49,22.51,180.04,11.9,12.75,2.97,1.46,4.25,37.4,0.85,26.77,196.18,12.75,17.0,0.85,2.12,9.77,26.33,0.42,1.7,0.0,4.48,7.41,25.76
42.5,4.55,5.37,4.13,0.0,3.68,2.48,9.5,9.09,4.9,4.09,3.27,14.06,7.44,9.81,8.68,11.57,15.29,2.48,49.17,9.92,11.57,8.58,6.13,0.0,1.65,205.15,129.14,234.71,601.74,48.76,19.62,184.31,10.33,52.48,4.13,1.46,3.31,35.12,7.85,42.18,237.43,2.07,2.89,0.41,0.41,10.33,6.95,0.0,1.24,0.41,4.74,6.77,24.49
60.2,3.89,2.16,6.48,0.0,0.0,4.75,3.45,5.18,17.93,0.85,2.99,18.57,1.73,10.25,7.34,22.45,13.39,3.02,45.34,3.89,22.88,11.96,8.11,1.28,2.16,252.78,109.74,252.59,567.36,40.15,38.43,260.03,25.04,61.31,3.02,1.58,3.45,23.32,0.43,17.7,185.74,1.3,23.32,0.43,7.77,2.59,12.38,0.43,0.0,3.42,4.49,8.11,22.19
46.7,2.64,4.41,3.53,3.09,0.44,2.2,3.53,2.2,0.0,5.67,0.44,14.1,1.76,20.08,9.26,7.05,16.75,2.2,41.87,2.2,14.54,11.79,9.6,0.0,0.0,200.79,253.16,292.2,674.31,38.78,21.39,206.46,16.75,68.31,2.64,1.48,2.64,13.66,0.44,29.09,148.84,1.76,15.87,0.44,1.32,1.32,4.36,0.0,0.0,0.0,7.0,11.52,25.03
15.85,6.21,20.83,8.77,1.83,15.09,2.19,7.31,15.72,13.58,2.64,4.91,23.02,1.46,15.85,1.46,17.91,23.39,4.39,99.78,3.65,18.64,13.58,1.51,0.75,2.92,252.45,170.57,131.21,499.27,17.54,6.42,126.04,8.41,15.35,4.02,1.4,1.1,28.14,32.89,39.84,225.28,7.68,18.64,2.56,0.0,10.96,31.7,0.38,2.19,1.89,3.71,6.16,17.27
6.62,8.55,12.82,4.78,1.51,8.21,1.51,4.02,14.58,12.45,2.91,1.06,13.83,5.53,10.33,2.51,10.81,16.85,3.02,62.86,6.79,16.6,10.6,1.59,1.06,1.01,192.58,117.62,201.91,522.76,10.3,5.83,118.68,9.3,28.92,2.77,1.42,0.0,34.95,19.61,47.27,263.58,5.03,13.33,4.53,2.26,7.29,27.28,0.53,2.01,0.0,4.58,6.04,17.69
