register,dimension1,dimension2,dimension3,dimension4,dimension5
popular_fiction_01,12.97321495,7.46118131,-6.562046867,4.857054939,-1.565088329
popular_fiction_02,24.10320531,10.80978573,-8.249402076,8.716251668,-0.987434656
popular_fiction_03,22.13060568,5.953365098,-7.328562225,11.75121381,-0.002230923
popular_fiction_04,17.22630437,1.901232214,-6.506293208,13.65974205,-1.083178234
popular_fiction_05,1.348205783,-3.33384424,-8.95298484,0.975308304,-2.556065131
popular_fiction_06,1.414462057,13.79977853,-2.095293586,-3.921092729,-1.667916316
popular_fiction_07,3.628384282,11.38851372,-2.003816536,5.886792138,-1.384315163
popular_fiction_08,3.514891696,-0.818767903,0.023458123,-4.59732407,-1.54313566
popular_fiction_09,1.869220373,3.086259354,4.977170206,0.964473476,-1.201236894
popular_fiction_10,-3.912363395,-0.964948959,2.057148153,-4.805125481,0.109557055
popular_fiction_11,12.56223823,7.681370396,-9.109903937,4.893613347,-2.495778699
popular_fiction_12,4.756369209,-1.059945168,-9.019002994,4.1030925,-2.468345501
popular_fiction_13,-4.869678845,1.800394062,6.526898018,-5.033619539,-0.397038269
popular_fiction_14,4.742030171,0.672818091,1.615609305,-3.106017548,-1.666630717
popular_fiction_15,11.14238075,17.94920231,-2.409747345,{16.09396211},-2.807096253
popular_fiction_16,6.657019301,11.93582678,-3.829521332,2.050161291,-0.924765618
popular_fiction_17,6.279901214,11.80889084,-4.218512311,1.015604177,-1.288008925
popular_fiction_18,9.696025739,10.81491967,-0.05312119,-0.820712526,0.243431358
popular_fiction_19,5.342651162,13.70860604,3.318451434,-2.999552756,0.705412834
popular_fiction_20,-4.052035985,4.58714527,-0.378524502,-0.372020639,0.219018569
popular_fiction_21,10.09086334,11.10986975,-4.441678344,0.23152563,-1.904737617
popular_fiction_22,6.303325383,6.255221654,-3.560306923,6.083027278,-0.671205299
popular_fiction_23,-6.533391491,0.588854777,-4.6760064,1.552813693,-0.999832146
popular_fiction_24,14.94287831,16.40374767,-5.346998667,5.395649094,-2.634393457
popular_fiction_25,17.27939866,9.550391149,-3.828929009,3.193956212,-1.85361577
popular_fiction_26,3.892675716,3.144954249,-11.05913048,{14.79772239},-2.692809002
popular_fiction_27,9.273770816,3.152076892,-6.368921816,12.14127558,-3.344029637
popular_fiction_28,-0.436080322,2.550949724,-1.814452526,0.544781761,-0.16965816
popular_fiction_29,-1.321616895,-0.849937723,-5.865740511,-3.34540853,-0.871932163
popular_fiction_30,-5.435028667,0.512280387,-1.829616674,4.261694396,0.865074891
popular_fiction_31,1.262818649,7.714728754,-4.48168857,1.030207933,-0.442276167
popular_fiction_32,13.61944287,25.02302536,-3.771985899,1.982980896,-0.725865841
popular_fiction_33,-11.2150948,-6.630580793,-2.986223001,-1.837847382,2.127994451
popular_fiction_34,29.11200328,5.729499934,-8.323032864,6.486245428,-0.836800317
popular_fiction_35,1.203124449,3.551187642,0.067612454,-2.198604726,-0.510539644
popular_fiction_36,2.621156501,3.345801878,-1.929225696,0.847987273,-1.508255255
popular_fiction_37,-3.986505132,-0.268868909,-4.54914525,-1.395662039,-0.678629466
popular_fiction_38,6.196380854,8.054856954,-9.574119702,1.09429038,-1.663564593
popular_fiction_39,23.78037436,4.9387065,-8.33453067,7.299096659,-2.153744693
popular_fiction_40,4.332494311,4.392906089,-7.653831079,1.133173142,-1.673563453
popular_fiction_41,11.44270755,8.002479087,-7.062640389,4.895853031,-2.076965257
popular_fiction_42,-7.005113683,2.569083564,-4.401294523,11.49585207,-1.572604489
popular_fiction_43,3.881584108,4.863563056,-6.421535922,5.184342391,-3.423544753
popular_fiction_44,-8.180688108,-7.971951871,-0.147403973,-4.204540814,1.163387118
popular_fiction_45,-8.879664254,-7.074908839,2.484942125,-3.860666614,-0.672829546
popular_fiction_46,-9.209850984,2.045483247,-4.099426382,-0.492015906,1.539565391
popular_fiction_47,0.646045731,8.125111665,-7.484747559,3.584163822,-2.11042391
popular_fiction_48,-0.176827435,10.82587869,-7.890931369,0.302797279,-1.15721859
