,Median,Min,Max,Range,IQR
average clause length,7.31,4.8,11.52,6.72,1.62
amplifiers,12.23,4.69,29.11,24.419999999999998,4.92
monosyllabic negation,10.54,1.16,21.22,20.06,7.98
average sentence length,25.18,15.15,42.29,27.14,7.36
average sentence length'SD,15.14,8.01,36.46,28.450000000000003,5.81
auxiliary adjectives,3.64,0.0,10.3,10.3,1.97
average word length,1.46,1.3,1.61,0.31000000000000005,0.09
BE,15.28,7.05,26.6,19.55,5.18
disyllabic prepositions,1.69,0.0,5.55,5.55,1.83
classical function words,3.84,0.39,17.33,16.939999999999998,4.24
classical syntac,4.41,0.0,13.13,13.13,5.11
classifiers,28.35,13.4,49.35,35.95,11.71
conditional conjuncts,2.95,0.35,10.9,10.55,1.41
demonstrative pronouns,18.08,6.06,31.53,25.470000000000002,7.8
descriptive words,1.9,0.0,10.02,10.02,2.3
disyllabic verbs,62.22,29.82,90.61,60.79,15.04
disyllabic words,13.46,2.71,45.97,43.26,13.11
downtoners,1.28,0.0,4.61,4.61,1.69
emotion words,11.7,3.13,29.33,26.2,8.01
existential,6.86,1.32,12.84,11.52,4.42
exclamation,0.92,0.0,14.32,14.32,1.78
first-person pronouns,8.93,0.0,58.05,58.05,17.65
hedges,3.06,0.0,12.15,12.15,3.13
HSK 1,235.14,147.5,321.92,174.42000000000002,67.22
HSK 3,146.45,72.84,253.16,180.32,46.78
imperfect markers,16.44,2.89,31.66,28.77,9.03
indefinite pronouns,3.24,0.0,14.03,14.03,3.45
interrogative,4.4,0.39,14.19,13.799999999999999,4.03
intransitive verbs,19.81,4.32,29.98,25.66,8.87
lexical density,539.72,452.7,674.31,221.60999999999996,52.38
modifying adverbs,23.68,10.95,38.16,27.209999999999997,7.95
complement marker de,1.92,0.0,4.57,4.57,1.36
adverbial marker di,2.74,0.0,12.75,12.75,3.44
monosyllabic verbs,40.68,13.48,60.69,47.209999999999994,14.28
nominalisation,26.42,9.03,68.12,59.09,16.64
nouns excl. nominalisation,188.64,117.5,292.2,174.7,88.56
onomatopoeia,0.0,0.0,3.13,3.13,0.76
other personal pronouns,2.94,0.0,25.12,25.12,4.38
modal particles,6.03,0.0,31.0,31.0,8.26
perfect aspect markers,12.98,1.32,40.25,38.93,8.19
Chinese person names,5.46,0.0,41.75,41.75,10.69
phrasal coordination,9.34,0.39,25.04,24.65,7.77
private verbs,15.12,3.48,25.74,22.259999999999998,7.17
public verbs,4.56,0.43,13.69,13.26,4.42
question,3.44,0.0,18.68,18.68,4.14
adverbs,74.09,35.6,99.78,64.18,24.43
simile,2.24,0.0,13.87,13.87,1.5
seem/appear,0.38,0.0,3.14,3.14,0.68
second-person pronouns,3.62,0.0,31.18,31.18,8.12
disyllabic negation,2.16,0.0,8.37,8.37,2.02
third-person pronouns,11.96,1.24,61.3,60.059999999999995,16.84
unique words ratio,234.12,133.9,299.37,165.47,58.25
WH-words,1.9,0.0,7.38,7.38,2.13
honorifics,2.39,0.0,11.67,11.67,4.19
