abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
15.87,7.78,13.92,6.14,6.96,10.99,2.87,13.51,12.69,15.06,3.26,4.07,16.8,7.37,17.5,7.37,15.56,40.54,4.91,86.0,9.01,29.48,14.25,3.26,0.81,2.87,245.01,175.42,149.06,556.92,35.22,15.87,136.75,11.88,22.11,2.87,1.37,2.05,18.84,5.32,36.45,183.96,4.1,17.61,2.05,4.91,10.24,17.91,0.41,3.69,0.0,3.14,6.27,26.29
111.53,0.41,2.06,2.47,0.41,0.0,1.64,2.06,16.45,0.42,0.83,0.83,9.87,1.64,7.49,22.62,10.69,19.33,2.47,89.64,7.81,18.09,11.65,3.75,1.66,1.23,191.43,90.72,226.97,586.0,14.8,29.13,265.09,11.51,29.19,7.81,1.54,0.82,16.04,30.02,55.69,201.41,1.64,10.69,4.11,6.17,6.58,7.49,0.42,1.64,0.0,6.3,9.97,34.85
84.02,0.78,5.44,1.17,0.0,0.0,0.0,3.11,8.55,0.98,0.33,1.64,8.94,1.94,6.89,20.2,14.37,17.48,1.55,53.22,2.72,14.76,14.11,4.92,0.98,0.39,172.3,100.75,263.01,542.79,35.75,28.55,293.73,16.32,41.96,3.11,1.54,1.17,18.26,15.93,56.27,173.61,0.0,7.77,1.94,1.94,6.6,4.59,0.0,2.72,0.0,7.52,10.0,40.16
129.24,6.78,8.77,7.18,0.8,0.0,1.59,12.36,9.57,8.18,0.0,0.41,16.73,1.99,13.09,10.77,17.15,21.13,0.8,62.2,9.17,13.96,11.86,4.09,0.41,4.78,177.51,98.98,221.69,571.03,26.72,22.49,333.33,16.75,39.87,1.2,1.45,0.8,17.15,26.71,36.61,134.56,1.59,7.97,1.59,2.79,4.39,4.09,0.0,1.59,0.0,6.79,9.18,42.64
55.56,1.22,1.63,1.22,0.0,0.0,0.0,4.89,3.26,5.21,0.87,1.74,8.14,0.0,7.81,11.81,13.44,18.73,2.85,53.75,8.96,24.84,10.42,6.94,0.87,0.81,192.27,105.47,289.09,600.41,46.82,36.46,235.24,14.66,68.4,2.85,1.44,3.26,24.43,9.36,37.4,210.5,0.0,3.66,0.81,8.55,2.44,9.98,0.0,0.0,2.6,6.65,10.4,34.98
77.91,4.47,3.66,8.54,2.85,0.83,2.44,2.85,13.01,2.07,4.14,0.41,28.05,13.42,5.39,2.85,28.87,28.47,4.88,78.08,5.69,17.49,9.95,4.97,1.24,4.07,173.23,101.53,150.06,595.36,52.05,21.55,201.82,4.07,26.43,2.03,1.45,2.44,22.77,2.03,37.01,236.63,4.07,6.91,3.66,3.25,7.32,3.32,0.0,1.63,0.0,6.2,8.93,27.05
128.33,3.21,16.04,4.01,2.41,0.0,2.01,11.23,20.86,1.21,0.0,0.81,20.87,8.82,3.63,4.41,25.67,45.73,8.42,100.68,9.63,24.47,8.88,7.67,2.02,4.41,173.12,109.77,184.52,551.95,22.06,38.74,288.54,4.41,18.85,4.01,1.63,3.61,18.85,3.21,25.27,158.6,0.0,9.23,5.21,0.8,10.43,4.04,0.0,1.2,0.0,6.03,10.57,32.03
104.88,0.0,2.24,2.99,0.0,0.0,1.49,6.72,5.97,2.8,0.0,2.8,4.1,0.75,8.41,10.45,19.4,12.31,1.12,35.07,2.24,15.3,11.61,7.61,1.6,1.12,184.55,134.11,250.75,488.11,26.5,38.03,283.03,22.76,27.24,1.49,1.52,2.61,14.93,9.7,22.66,161.73,0.37,13.06,0.37,1.49,10.07,12.41,2.0,0.0,10.81,6.58,9.19,32.74
43.63,0.0,0.81,0.41,0.0,0.0,0.0,5.28,6.5,0.4,4.76,0.0,14.62,0.81,7.93,10.56,14.22,19.09,2.03,56.86,6.5,19.09,7.54,2.78,0.4,1.62,149.94,84.09,255.89,549.33,53.61,19.44,186.43,16.65,40.62,2.44,1.38,2.44,19.09,6.5,23.95,254.66,2.84,15.84,0.41,2.44,9.34,4.36,0.0,0.0,0.0,5.16,7.37,30.11
46.11,0.0,1.22,0.41,0.0,0.0,0.0,6.51,1.63,0.0,6.2,0.0,3.26,1.22,3.49,16.27,9.76,15.46,1.63,35.8,5.7,13.43,5.81,1.16,0.39,0.41,172.03,108.1,268.1,533.55,29.3,32.55,188.69,16.27,45.16,1.63,1.49,0.41,20.75,72.42,44.33,254.17,0.41,8.54,1.63,0.41,7.32,6.97,0.0,0.0,0.0,5.43,8.81,30.85
