abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
84.21,6.49,6.08,7.3,0.0,0.42,2.03,2.44,2.03,22.85,2.12,2.54,7.71,6.49,10.16,1.62,10.16,18.65,0.81,52.76,4.46,12.18,14.39,1.69,0.42,0.41,199.32,121.88,253.45,624.75,71.83,74.06,224.29,8.92,60.02,13.38,1.69,2.84,21.1,8.52,22.31,238.26,0.81,8.52,0.81,0.41,10.55,0.85,0.0,0.41,0.0,6.042602913,6.926174497000001,22.62
89.8,0.42,0.0,0.42,0.0,0.0,0.0,19.32,5.42,1.26,2.52,0.84,9.66,1.25,6.29,9.24,5.04,12.92,0.0,49.98,5.04,9.66,7.55,3.36,0.42,0.83,162.82,101.13,306.67,543.29,70.36,57.07,259.34,17.09,56.25,4.17,1.65,2.94,12.18,7.92,18.4,211.5,0.42,21.42,0.0,0.0,4.62,4.2,0.84,0.0,5.46,5.422407589,9.447368421,28.40740741
87.63,0.0,0.0,0.4,0.0,0.0,0.0,5.2,0.0,1.26,1.26,0.42,9.2,0.4,7.13,6.8,10.06,7.59,0.8,36.41,1.2,12.0,7.13,2.52,0.84,0.4,161.84,88.89,265.58,654.02,92.79,62.89,277.57,28.38,81.07,6.79,1.7,4.0,16.01,7.59,20.78,233.54,0.4,9.2,0.0,0.4,20.81,0.42,0.0,0.8,12.16,5.417789866000001,8.810699588,29.17721519
118.3,0.0,0.0,0.84,0.42,1.28,0.84,3.37,2.52,7.23,2.55,0.85,6.72,2.1,8.51,5.47,5.53,8.83,0.0,37.04,2.1,15.57,5.96,2.98,0.0,0.0,157.87,93.62,299.83,684.61,86.25,77.45,324.68,23.98,83.26,15.56,1.75,2.53,6.73,14.72,18.08,171.91,2.94,16.41,0.42,0.0,6.73,2.13,0.0,0.42,0.0,7.384222827,8.915611814,38.83050847
70.2,0.41,0.41,1.22,0.0,0.0,0.81,8.96,2.03,15.51,0.0,0.0,4.89,0.41,5.31,5.7,4.08,2.84,0.41,28.92,2.44,6.11,6.53,3.27,0.82,0.0,136.33,86.94,270.77,702.88,106.22,80.0,300.41,12.17,102.55,13.38,1.65,3.67,25.66,8.51,21.08,220.82,0.41,9.37,0.0,0.41,7.33,0.41,0.0,0.0,0.0,7.215452879,9.933035713999999,43.52727273
57.01,0.0,0.0,1.96,0.0,0.0,0.39,2.76,7.06,0.4,0.8,1.2,3.54,0.39,1.2,9.87,12.04,14.51,1.18,58.8,3.95,13.42,8.03,6.82,3.61,2.35,131.67,85.91,232.94,663.14,75.24,49.78,265.76,14.91,67.06,8.24,1.65,3.16,16.57,3.53,28.63,209.15,0.78,8.68,0.0,0.0,5.52,0.8,0.0,0.39,0.8,4.7322964569999995,7.675958187999999,28.29411765
82.47,0.0,0.0,1.27,0.0,0.86,0.86,6.88,4.64,3.45,2.59,0.86,13.76,2.11,7.34,4.73,8.2,19.39,1.26,56.37,4.3,9.47,8.2,3.02,0.0,0.84,145.08,115.28,243.25,622.1,71.16,60.45,272.45,23.62,56.07,12.23,1.65,2.15,15.06,9.7,19.82,212.87,0.0,9.9,0.86,1.72,6.45,0.86,0.0,0.84,0.43,5.811454293,8.448979592,23.11458333
97.35,2.94,0.0,2.1,0.0,0.43,0.43,4.7,2.94,7.26,0.85,1.28,10.71,0.42,5.12,7.27,5.55,5.46,0.0,38.91,5.13,14.54,4.27,2.56,1.71,0.42,132.79,85.4,266.92,637.93,85.3,77.71,320.67,29.44,69.36,7.57,1.67,2.99,11.97,10.51,18.92,201.11,0.42,17.1,0.0,0.0,5.56,0.0,0.0,0.0,0.0,7.08570219,7.833962264,25.90804598
75.75,4.28,4.67,3.5,1.17,0.0,1.17,3.91,12.84,2.01,0.4,2.82,13.3,0.0,13.3,7.82,13.3,19.07,1.56,65.73,3.13,18.0,8.86,4.83,0.4,1.17,153.91,85.82,229.57,597.35,73.8,39.89,236.5,18.29,47.08,8.95,1.63,3.13,10.17,3.89,22.24,229.65,1.17,10.56,2.35,0.78,9.0,4.03,1.21,0.78,0.4,5.116727111,7.735915492999999,26.26373626
117.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.26,0.0,3.3,0.41,4.63,8.27,0.42,1.65,0.0,15.72,0.41,2.9,1.26,1.26,0.42,0.0,84.52,75.69,317.68,801.4,117.47,103.87,370.9,24.72,136.38,25.55,1.79,3.31,13.24,2.88,15.66,209.84,0.41,3.31,0.0,0.0,1.24,0.0,0.0,0.0,0.0,5.374189015,9.517699115,43.01851852
