abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
31.76,3.29,2.87,3.29,0.0,0.41,2.05,4.11,6.16,6.51,1.22,1.22,9.03,-0.82,24.84,4.52,13.96,21.36,3.29,57.49,2.87,22.18,15.07,1.63,2.44,2.05,257.74,135.59,213.96,557.7,34.9,15.47,151.87,11.91,49.28,4.11,1.41,2.87,22.59,3.29,34.09,228.01,2.46,14.37,0.82,0.82,12.32,21.17,1.22,1.23,4.07,4.25,7.32,25.12
51.0,2.82,6.05,3.23,1.21,0.0,0.81,4.44,11.29,5.85,2.09,0.84,10.08,4.44,15.05,3.63,14.52,23.79,0.4,66.53,3.63,11.29,19.23,3.34,2.09,3.23,222.83,110.37,213.31,561.39,28.22,28.01,220.74,6.05,38.31,6.45,1.53,1.61,24.6,37.1,42.81,280.1,1.21,10.48,0.81,2.02,11.29,6.69,0.0,0.0,7.11,5.91,9.35,35.78
39.52,4.63,2.7,2.7,2.31,0.0,1.93,10.8,13.5,4.99,1.15,0.38,13.51,3.86,14.58,2.31,15.81,26.61,1.54,69.8,6.17,16.58,19.95,2.69,2.3,2.31,219.88,123.56,205.17,507.16,17.36,23.02,159.25,10.03,30.08,4.63,1.48,3.09,27.77,67.1,40.23,252.88,0.39,10.03,0.0,1.16,8.87,4.6,0.77,2.31,0.0,5.27,8.69,30.78
46.55,0.0,0.83,1.24,0.0,0.39,0.41,5.39,6.63,1.58,1.97,0.39,12.02,4.15,7.89,10.36,20.32,14.93,1.66,53.07,3.73,20.73,13.81,4.34,0.79,2.49,199.21,122.29,216.83,555.14,38.97,18.15,198.82,19.9,53.9,4.15,1.52,2.07,24.88,13.68,32.34,292.7,2.49,18.24,2.07,2.07,6.22,6.31,0.0,2.07,0.0,5.67,9.06,37.39
37.46,0.0,0.4,0.0,0.0,4.73,0.0,1.21,1.62,5.13,0.79,0.0,7.28,-0.81,10.25,9.29,12.12,11.31,0.0,28.69,4.04,12.93,14.2,1.97,0.79,0.81,211.75,125.39,246.06,537.78,52.12,15.77,174.29,30.3,72.32,3.23,1.43,3.64,19.8,42.42,22.22,236.59,4.85,8.89,2.42,0.81,14.14,7.49,0.0,0.0,0.0,4.58,8.12,33.73
49.17,3.04,3.48,7.82,1.74,0.81,2.61,5.65,5.21,4.47,1.22,0.0,11.73,2.61,5.69,4.34,19.98,18.68,0.43,64.73,4.78,15.64,8.53,1.22,0.0,2.17,185.29,101.18,184.62,528.0,36.06,22.75,203.17,13.03,42.14,4.78,1.48,0.0,33.01,26.5,40.24,290.53,3.04,22.15,2.17,0.0,12.16,5.69,0.41,0.43,2.03,8.79,9.79,28.64
43.53,0.41,0.82,0.82,0.0,3.82,0.82,5.36,4.95,8.02,1.15,3.44,5.77,-0.41,14.13,7.83,9.89,11.54,1.24,54.0,5.77,7.01,14.51,4.2,1.15,2.89,242.46,112.26,228.77,613.36,72.14,20.24,191.68,16.9,68.01,3.3,1.46,3.3,18.14,18.14,21.43,237.5,0.41,22.67,0.41,0.41,13.19,17.95,0.76,0.0,0.76,16.97,26.27,27.15
42.62,0.78,2.35,3.53,0.39,3.49,0.0,3.92,7.06,20.53,1.16,1.55,10.19,3.14,13.56,5.88,20.39,35.69,2.75,89.02,7.06,20.78,15.89,3.49,2.71,1.18,289.04,121.27,205.1,536.47,26.28,17.82,163.12,10.2,39.22,5.1,1.42,3.92,23.14,27.45,28.63,213.48,0.39,9.41,0.39,5.1,5.88,4.26,0.0,0.39,3.49,14.72,17.83,24.29
20.79,0.0,0.41,0.0,0.0,1.3,0.0,5.37,1.24,8.23,1.73,1.73,7.02,-0.41,16.46,5.37,10.33,12.82,0.41,27.7,1.65,4.96,20.36,3.9,0.43,0.83,193.59,123.0,312.11,657.7,71.93,17.32,173.24,19.02,105.0,8.27,1.49,2.48,13.64,9.51,16.14,258.55,1.24,10.33,0.83,0.0,13.23,5.63,0.0,0.41,1.73,5.8,8.02,36.23
29.34,2.35,3.14,2.35,0.78,2.74,0.78,3.92,11.37,3.52,2.74,2.35,9.8,0.39,14.08,7.45,12.94,13.33,1.96,54.51,7.45,14.12,11.35,3.13,0.78,1.57,232.39,106.81,241.18,607.3,42.74,23.47,193.27,14.9,58.82,7.45,1.54,3.53,22.35,18.82,38.45,318.47,0.78,12.94,0.39,2.35,5.88,14.48,0.39,0.0,0.0,5.6,8.76,27.09
