,Median,Min,Max,Range,IQR
average clause length,9.06,6.89,26.27,19.38,1.86
amplifiers,10.79,2.94,20.36,17.419999999999998,5.08
monosyllabic negation,6.16,0.4,15.53,15.129999999999999,5.52
average sentence length,34.86,22.83,51.89,29.060000000000002,9.11
average sentence length'SD,20.6,12.17,40.55,28.379999999999995,9.08
auxiliary adjectives,4.34,0.79,8.96,8.170000000000002,1.97
average word length,1.54,1.41,1.74,0.33000000000000007,0.1
BE,13.76,6.39,31.42,25.03,6.82
disyllabic prepositions,2.44,0.0,5.49,5.49,1.64
classical function words,7.45,1.94,13.59,11.65,5.76
classical syntac,6.65,2.17,18.15,15.979999999999999,5.08
classifiers,24.88,9.3,42.67,33.370000000000005,7.73
conditional conjuncts,1.22,0.0,3.29,3.29,1.54
demonstrative pronouns,15.0,4.96,22.39,17.43,5.63
descriptive words,1.18,0.0,3.83,3.83,1.61
disyllabic verbs,72.85,50.81,102.23,51.42,14.48
disyllabic words,26.07,15.47,54.41,38.94,15.65
downtoners,0.81,0.0,3.0,3.0,0.91
emotion words,8.19,1.68,25.77,24.09,8.1
existential,4.59,1.52,10.02,8.5,2.85
exclamation,0.0,0.0,5.04,5.04,0.78
first-person pronouns,4.47,0.42,20.53,20.11,4.4
hedges,3.13,0.43,6.07,5.640000000000001,1.93
HSK 1,191.92,140.28,289.04,148.76000000000002,40.6
HSK 3,110.37,74.47,142.03,67.56,21.11
imperfect markers,12.94,8.53,28.28,19.75,5.44
indefinite pronouns,1.2,0.0,5.06,5.06,2.05
interrogative,2.3,0.0,7.82,7.82,2.47
intransitive verbs,14.24,7.37,24.78,17.41,6.65
lexical density,561.17,507.16,686.97,179.81,52.52
modifying adverbs,18.34,10.38,35.69,25.309999999999995,7.94
complement marker de,0.39,0.0,3.1,3.1,0.82
adverbial marker di,1.55,0.0,4.85,4.85,2.03
monosyllabic verbs,30.92,14.91,42.81,27.900000000000002,14.93
nominalisation,38.02,17.36,102.64,85.28,20.47
nouns excl. nominalisation,230.0,167.21,312.11,144.9,43.34
onomatopoeia,0.0,0.0,1.18,1.18,0.39
other personal pronouns,0.81,-5.73,4.44,10.170000000000002,2.58
modal particles,1.93,0.0,11.64,11.64,2.32
perfect aspect markers,11.76,5.88,18.0,12.120000000000001,5.53
Chinese person names,12.61,0.85,67.1,66.25,12.61
phrasal coordination,14.61,5.7,30.3,24.6,7.61
private verbs,10.02,2.1,18.64,16.54,4.29
public verbs,4.11,0.0,10.8,10.8,2.63
question,0.41,0.0,4.63,4.63,1.62
adverbs,54.0,27.7,89.02,61.31999999999999,25.37
simile,1.68,0.0,5.47,5.47,1.13
seem/appear,0.0,0.0,1.22,1.22,0.42
second-person pronouns,0.41,0.0,5.66,5.66,1.69
disyllabic negation,1.58,0.0,3.65,3.65,1.54
third-person pronouns,5.69,0.39,25.46,25.07,6.44
unique words ratio,251.04,171.36,318.47,147.11,50.44
WH-words,0.78,0.0,2.61,2.61,1.21
honorifics,1.58,0.0,9.0,9.0,1.61
