,Median,Min,Max,Range,IQR
average clause length,6.18,5.08,9.19,4.109999999999999,1.34
amplifiers,13.95,5.43,24.67,19.240000000000002,5.29
monosyllabic negation,15.22,6.88,23.96,17.080000000000002,4.54
average sentence length,21.42,12.38,38.8,26.419999999999995,7.47
average sentence length'SD,13.54,6.75,23.86,17.11,4.98
auxiliary adjectives,3.04,0.41,6.84,6.43,1.6
average word length,1.38,1.3,1.5,0.19999999999999996,0.07
BE,14.36,8.78,28.47,19.689999999999998,4.55
disyllabic prepositions,0.79,0.0,2.99,2.99,0.76
classical function words,1.89,0.0,9.58,9.58,1.97
classical syntac,2.28,0.0,19.66,19.66,2.46
classifiers,30.3,22.18,46.67,24.490000000000002,9.06
conditional conjuncts,2.68,0.39,7.27,6.88,1.38
demonstrative pronouns,19.29,13.25,27.8,14.55,6.64
descriptive words,3.18,0.0,9.02,9.02,2.53
disyllabic verbs,52.6,32.85,74.12,41.27,11.81
disyllabic words,7.02,2.51,19.97,17.46,4.94
downtoners,1.63,0.0,4.52,4.52,0.98
emotion words,14.9,5.73,30.58,24.849999999999998,7.89
existential,5.22,1.57,12.3,10.73,2.97
exclamation,1.39,0.0,12.17,12.17,4.51
first-person pronouns,10.22,0.0,50.7,50.7,20.13
hedges,1.67,0.0,3.68,3.68,1.34
HSK 1,270.85,190.42,358.95,168.53,44.07
HSK 3,163.35,106.06,230.1,124.03999999999999,34.44
imperfect markers,18.91,8.54,36.47,27.93,8.91
indefinite pronouns,3.28,1.27,7.96,6.6899999999999995,2.72
interrogative,6.14,2.94,15.53,12.59,3.66
intransitive verbs,20.98,15.65,34.14,18.490000000000002,6.59
lexical density,520.74,479.77,590.15,110.38,29.49
modifying adverbs,27.88,13.57,42.45,28.880000000000003,5.79
complement marker de,2.88,0.73,5.09,4.359999999999999,1.53
adverbial marker di,5.43,0.4,9.39,8.99,2.85
monosyllabic verbs,51.18,35.41,73.63,38.22,8.41
nominalisation,16.72,10.67,28.47,17.799999999999997,6.62
nouns excl. nominalisation,163.13,112.51,210.83,98.32000000000001,44.14
onomatopoeia,0.81,0.0,3.47,3.47,1.01
other personal pronouns,3.86,0.39,10.93,10.54,4.3
modal particles,14.16,2.17,29.18,27.009999999999998,7.18
perfect aspect markers,17.93,10.08,27.31,17.229999999999997,6.44
Chinese person names,20.79,1.18,50.08,48.9,14.2
phrasal coordination,4.78,1.54,14.81,13.27,4.13
private verbs,18.28,10.86,27.85,16.990000000000002,7.26
public verbs,8.09,1.74,22.98,21.240000000000002,5.52
question,5.22,0.87,14.27,13.4,5.02
adverbs,82.02,57.46,110.55,53.089999999999996,17.37
simile,3.14,0.36,8.5,8.14,2.66
seem/appear,0.42,0.0,2.93,2.93,0.85
second-person pronouns,6.69,0.0,20.95,20.95,7.6
disyllabic negation,1.88,0.0,5.88,5.88,2.34
third-person pronouns,23.33,8.74,45.42,36.68,14.94
unique words ratio,236.6,155.38,301.01,145.63,55.89
WH-words,2.1,0.0,6.3,6.3,1.66
honorifics,2.23,0.0,11.09,11.09,2.49
