abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
8.74,4.21,17.24,2.94,7.15,5.16,2.1,3.36,14.72,5.16,1.59,3.97,16.4,10.93,14.69,2.52,11.77,28.17,2.52,90.83,2.52,21.03,17.08,3.18,1.99,0.84,269.26,187.05,127.0,510.72,16.4,7.55,102.46,2.52,21.03,3.78,1.35,1.26,25.23,26.49,58.43,232.72,7.15,29.44,6.31,2.94,22.71,39.71,0.4,3.36,6.35,3.52,6.09,23.68
13.15,14.27,20.15,15.53,12.17,5.18,6.3,12.59,18.05,5.58,2.39,2.39,23.1,3.36,19.52,1.68,18.89,30.65,2.52,102.43,3.36,19.31,15.54,2.39,2.39,5.88,245.82,178.09,112.51,515.52,16.8,11.16,123.51,2.94,17.21,2.94,1.36,0.42,22.25,13.01,53.69,212.75,5.04,14.27,5.88,1.68,16.79,25.9,2.39,3.36,0.8,3.96,6.23,13.67
23.34,5.04,13.45,8.41,1.26,12.47,1.68,10.51,23.96,50.7,2.82,6.44,23.54,5.88,29.38,2.1,15.55,42.45,2.52,110.55,6.31,15.13,16.5,2.01,0.4,0.84,358.95,169.01,134.51,531.93,18.08,12.07,115.49,4.62,13.45,2.94,1.32,0.84,27.74,29.0,51.68,192.76,2.52,14.29,0.0,1.26,13.03,28.17,0.0,2.1,0.4,3.05,5.29,18.41
15.61,0.87,2.17,3.04,0.0,2.95,1.74,1.74,8.25,6.33,0.0,1.27,10.86,1.74,17.71,6.95,15.2,29.54,2.17,74.72,5.21,27.8,13.92,1.27,2.11,3.48,276.68,196.12,209.38,561.63,20.41,8.44,135.81,12.6,43.01,3.91,1.36,1.3,40.83,14.34,52.95,204.13,4.34,18.25,6.52,5.65,16.51,34.58,0.84,2.61,0.0,4.3,7.32,25.94
13.8,9.29,18.15,7.18,10.55,17.14,0.84,4.22,20.26,16.72,0.84,7.53,17.73,3.38,26.34,2.11,12.24,22.37,1.69,82.31,3.8,18.57,24.67,2.51,1.25,0.0,301.84,181.02,154.5,525.12,26.6,19.23,138.38,8.86,20.68,5.49,1.35,0.0,25.75,41.37,53.19,211.54,8.44,16.04,3.8,1.27,10.98,40.13,1.25,3.8,0.0,4.0,6.79,21.35
16.91,4.92,16.39,4.51,4.1,10.31,1.23,3.69,12.7,11.13,2.06,5.77,11.48,4.1,21.03,4.51,17.62,28.28,2.05,80.33,12.3,19.26,22.27,1.65,0.82,2.05,320.41,230.1,171.31,507.99,13.12,5.77,97.32,6.97,27.46,0.41,1.3,0.82,34.84,34.84,50.8,195.05,4.51,13.52,2.05,3.28,21.72,41.65,0.82,4.1,1.24,3.57,7.0,18.71
10.76,2.14,7.69,3.42,1.71,0.86,0.0,5.98,13.68,0.43,3.01,1.72,24.77,5.98,7.75,1.28,11.54,26.07,2.56,79.91,4.7,13.25,13.34,2.15,0.86,2.56,251.72,157.06,163.25,552.14,19.23,6.45,138.12,7.69,32.91,6.84,1.37,2.99,29.91,8.12,55.56,291.74,8.55,26.5,7.26,2.99,15.81,17.64,0.0,2.99,0.0,5.35,9.19,34.21
17.52,1.27,12.29,5.09,0.42,4.48,0.85,8.48,15.26,6.11,0.41,5.3,22.89,5.93,27.3,2.12,14.84,25.01,2.54,78.0,4.24,20.77,12.63,0.81,1.63,1.7,206.6,141.4,162.36,541.9,23.74,19.97,157.7,5.09,24.59,5.09,1.4,0.0,34.76,17.38,71.46,273.84,5.93,22.04,2.12,3.39,14.41,13.04,0.41,4.24,0.0,4.57,7.52,31.29
14.69,11.39,29.18,9.61,0.71,1.99,3.56,21.35,23.84,3.18,0.79,1.59,11.74,6.76,30.58,1.42,11.03,23.49,2.85,74.73,4.27,14.59,9.53,1.59,1.99,0.0,247.02,152.1,180.07,516.37,10.67,10.33,117.55,1.78,36.3,2.14,1.36,0.71,30.25,24.2,48.04,237.49,6.41,8.54,1.42,2.49,18.86,8.74,0.4,4.27,12.31,4.56,6.79,19.63
14.1,1.22,9.77,7.73,0.81,5.55,2.44,9.36,19.94,10.25,3.84,5.13,23.2,5.7,14.52,3.26,10.99,30.93,3.66,98.9,3.66,15.06,12.82,1.71,1.71,1.63,274.67,175.14,210.83,590.15,12.21,8.54,130.71,4.07,28.9,6.51,1.42,0.81,23.61,27.68,56.57,296.45,4.07,15.87,4.48,1.63,13.84,24.78,1.71,0.81,5.98,4.38,7.54,24.16
18.0,7.31,7.31,7.71,4.87,20.51,3.25,11.36,15.42,9.21,1.26,4.19,21.51,3.25,20.09,2.44,23.54,27.6,4.46,91.31,5.28,16.64,22.19,2.09,3.35,1.22,288.82,198.41,202.52,526.79,16.64,5.44,125.16,8.12,34.9,1.62,1.32,0.81,32.06,20.7,47.48,253.24,4.87,10.55,2.44,2.44,19.48,21.77,0.84,4.87,0.0,3.98,7.62,38.8
12.8,1.6,7.58,3.19,0.0,20.95,0.8,6.78,12.37,17.84,6.59,4.27,13.97,0.8,10.09,1.6,8.78,13.57,4.39,57.46,3.19,19.95,5.43,0.78,1.55,2.39,252.52,129.17,185.55,515.16,11.57,3.1,100.08,7.18,21.95,3.59,1.39,0.8,39.11,16.76,48.28,186.19,2.79,23.14,2.39,4.39,10.77,11.25,0.0,1.6,0.0,2.94,5.68,20.84
8.22,3.36,10.5,4.62,0.42,4.11,2.1,7.56,14.29,3.7,11.09,2.47,18.9,2.1,11.5,7.14,15.55,26.05,2.94,86.13,8.82,18.49,9.45,0.82,0.0,5.46,205.01,124.9,163.45,527.73,21.84,3.7,118.32,6.3,22.27,3.78,1.33,0.0,25.63,9.24,56.72,226.38,5.88,18.07,6.3,1.68,24.37,11.5,0.0,2.52,0.0,2.95,6.58,35.31
17.48,7.49,10.41,5.83,0.0,8.94,2.5,5.83,11.24,18.7,2.85,3.25,12.91,0.83,16.67,9.58,12.07,28.31,3.75,91.17,3.33,22.48,19.11,2.85,0.81,0.42,282.11,169.51,194.0,571.96,16.24,7.72,114.63,3.75,29.14,5.0,1.34,0.83,24.15,27.89,73.63,236.99,0.83,8.74,3.33,2.5,13.74,28.05,0.0,1.67,0.0,4.66,7.63,31.79
15.18,3.54,14.94,4.33,0.0,5.59,0.39,5.11,13.37,32.75,3.19,5.19,21.25,0.39,10.38,0.39,14.16,17.7,3.93,59.38,1.57,19.27,14.38,1.6,1.2,1.97,276.36,121.41,156.11,497.05,21.24,10.38,130.59,6.69,23.2,2.75,1.38,2.75,34.21,20.45,46.4,287.94,4.33,23.99,3.15,3.15,20.06,21.57,0.4,2.36,0.0,2.83,5.48,20.39
18.94,8.86,19.57,9.6,7.75,7.58,2.58,12.19,15.88,30.72,1.68,2.53,15.88,4.43,23.99,0.37,12.19,22.53,4.06,70.53,8.12,19.94,14.31,2.53,1.26,0.74,294.61,164.98,168.39,540.05,15.51,6.73,110.69,2.58,26.96,3.69,1.33,0.37,36.56,8.12,49.46,239.48,5.17,19.57,1.48,7.75,14.77,21.04,0.42,3.32,0.0,3.39,7.0,27.61
6.55,8.23,17.2,4.49,1.12,3.69,1.5,12.34,13.09,2.46,10.24,5.32,13.84,1.12,5.73,4.49,10.1,22.06,0.75,71.05,4.11,16.08,7.78,0.41,0.41,1.87,190.42,106.06,179.51,510.48,14.59,6.55,121.62,2.62,30.29,4.86,1.3,0.75,25.43,10.47,65.49,282.56,8.23,23.56,3.37,7.85,10.1,16.38,0.41,2.62,0.0,3.34,6.33,25.54
