register,dimension1,dimension2,dimension3,dimension4,dimension5
romantic_fiction_01,9.153118116,7.575618271,-10.09786202,13.2606575,-1.431692063
romantic_fiction_02,20.11606654,12.1292039,-9.306900143,10.23707983,-2.893981109
romantic_fiction_03,18.35176918,10.20441119,-9.173873272,0.68774735,-2.910730093
romantic_fiction_04,-5.19828861,8.636806472,-4.491569105,10.38641587,-1.432490417
romantic_fiction_05,16.83720341,6.182506201,-8.605431626,9.444123597,-2.083694451
romantic_fiction_06,7.399575309,12.6902209,-10.53493699,8.903794649,-2.271006383
romantic_fiction_07,2.153005441,3.643546155,-6.358070287,9.703616495,0.076428702
romantic_fiction_08,6.956098436,3.239765603,-5.792199342,6.471087321,-0.787792338
romantic_fiction_09,13.21236867,1.151837976,-9.359848031,4.045085788,-0.754148219
romantic_fiction_10,10.56575024,5.518069923,-10.30194805,5.78240626,-0.879654486
romantic_fiction_11,13.43735093,12.50637977,-9.021088663,6.725318326,-0.169928073
romantic_fiction_12,6.279571161,-0.681826634,-7.014733707,2.590199163,-2.653822621
romantic_fiction_13,4.540998992,5.22312188,-8.712698656,6.638506324,-1.012436913
romantic_fiction_14,3.942030859,6.466959905,-9.499599126,1.137146529,-0.690509219
romantic_fiction_15,7.313841025,2.054886568,-7.676520326,6.882949651,-2.771495198
romantic_fiction_16,14.38076321,6.460743521,-7.849387338,7.672585942,-1.570212236
romantic_fiction_17,8.626775943,-3.714620933,-8.998710527,8.836610539,-1.939249098
romantic_fiction_18,13.95911697,4.371453361,-7.705742463,6.413335468,-3.356856857
romantic_fiction_19,11.49431417,3.066268374,-7.81349093,9.46989782,-1.639268065
romantic_fiction_20,5.331882518,6.147096187,-7.162500868,7.741998827,-2.673202615
romantic_fiction_21,13.94523676,9.490596467,-10.17218386,6.413477873,-2.495579669
romantic_fiction_22,8.231241607,2.695507523,-8.710580567,14.11333213,-2.965717794
romantic_fiction_23,-1.425414991,7.863910834,-7.135527055,13.64391938,-2.228247277
romantic_fiction_24,9.901615123,9.605975728,-7.471448951,3.958821049,-2.514581823
romantic_fiction_25,13.56189429,6.524494187,-8.302503422,2.257193126,-1.660800703
romantic_fiction_26,9.093402425,13.90684573,-6.26920324,7.855526363,-2.080722791
romantic_fiction_27,5.387992863,8.437791544,-9.906843203,8.621127097,-2.152225562
romantic_fiction_28,16.91205787,11.29972353,-7.552395929,14.87505718,-3.361548258
romantic_fiction_29,13.58785663,14.09202653,-9.476158007,9.3827643,-1.751254444
romantic_fiction_30,13.08540952,9.731752775,-8.179874484,4.712024258,-3.031116573
romantic_fiction_31,5.696886989,3.735333762,-9.818944422,17.52561614,-2.739972716
romantic_fiction_32,16.08616648,12.75965382,-7.970439276,2.367458212,-2.840523114
