abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
33.23,0.8,1.99,1.6,0.4,3.56,0.4,6.38,5.98,3.96,2.77,1.19,13.17,2.39,1.58,2.79,16.35,10.77,1.2,53.05,4.39,26.33,15.82,3.56,1.19,1.6,264.24,126.58,207.42,522.29,27.12,14.24,165.74,11.17,44.67,5.19,1.45,1.2,36.3,3.19,42.6,263.84,3.59,31.91,4.39,3.99,17.55,18.2,0.4,2.39,0.79,3.99,7.8,29.82
12.68,2.63,9.0,4.13,7.13,2.24,1.5,1.88,12.38,7.08,1.86,7.83,13.52,7.13,12.68,5.25,5.63,22.13,2.25,72.02,1.88,11.63,10.81,1.49,0.37,0.75,199.11,162.94,181.92,533.38,20.25,11.93,132.74,5.63,29.26,4.5,1.42,1.13,33.76,27.01,47.26,237.14,17.25,33.01,4.88,5.25,13.5,11.93,0.37,1.5,0.0,4.19,7.76,23.15
10.62,5.59,12.46,3.01,0.86,4.67,0.43,8.17,9.02,17.83,4.25,1.27,14.19,1.29,14.01,4.3,11.6,24.07,3.44,83.37,9.02,24.5,14.86,0.42,1.7,0.86,258.17,129.94,177.05,517.85,10.32,5.94,122.29,5.16,32.23,0.86,1.3,0.43,41.25,31.37,56.77,233.12,3.01,19.34,2.15,2.15,14.18,14.44,1.7,1.29,0.0,3.75,6.9,26.37
18.22,3.18,14.29,4.76,1.19,6.34,0.79,6.35,11.51,20.99,1.19,3.96,15.48,2.38,7.92,0.4,13.5,17.07,0.4,64.71,3.97,19.45,12.28,1.58,0.79,3.97,268.91,160.0,160.78,521.62,17.46,9.9,131.49,4.76,36.92,2.38,1.37,1.98,51.61,5.95,52.76,268.12,5.16,22.63,4.37,4.37,6.75,9.5,0.4,3.18,2.77,3.59,6.72,25.86
20.16,0.0,11.24,4.05,4.05,6.27,1.35,10.79,13.94,18.37,3.58,2.69,19.34,0.45,4.48,0.9,16.64,17.99,2.25,71.04,4.95,17.09,10.3,2.24,1.34,5.85,231.63,158.15,214.93,568.79,19.33,22.85,148.75,7.64,51.26,7.19,1.38,3.15,33.27,6.74,44.06,257.62,2.7,19.78,4.05,5.4,6.74,8.51,0.45,1.35,0.9,3.7,7.11,24.94
23.03,0.0,20.56,7.03,0.54,0.54,1.62,6.49,7.58,20.35,0.54,5.89,15.15,4.33,5.36,3.79,13.53,26.52,3.25,72.51,4.33,24.35,11.78,3.75,2.14,3.79,257.1,162.29,180.74,523.78,23.27,13.39,150.51,8.66,39.5,0.0,1.44,2.16,31.93,1.62,41.62,302.62,9.74,20.56,4.87,10.28,17.86,16.6,0.0,2.16,4.28,6.33,8.11,23.25
12.89,17.57,23.29,12.26,9.81,12.89,5.72,5.72,17.16,11.68,1.21,5.64,24.11,1.63,13.7,6.13,9.4,23.29,1.63,82.96,5.72,22.07,13.3,1.61,0.81,2.04,262.29,133.36,130.77,488.59,18.39,6.04,110.39,3.27,15.94,2.45,1.3,0.82,29.42,36.37,60.31,235.29,4.5,15.94,3.27,1.23,13.08,27.8,0.4,1.23,0.0,3.98,6.59,18.54
33.25,1.65,8.65,7.41,7.41,2.05,1.24,6.59,6.18,10.26,1.23,6.57,14.41,2.88,11.08,7.0,16.88,19.35,1.24,57.64,4.53,26.35,7.8,2.87,0.41,4.94,259.03,128.9,196.79,529.85,32.11,18.88,167.9,5.76,38.29,2.47,1.45,1.24,33.76,3.29,33.76,271.35,2.06,21.41,4.53,5.76,12.76,24.63,0.41,0.41,1.23,4.15,7.26,29.45
35.15,2.52,5.04,2.1,2.1,0.0,0.84,5.46,7.56,8.08,4.44,1.62,8.82,2.94,8.08,7.56,7.98,15.54,2.1,44.94,2.52,13.02,5.66,2.02,0.4,0.42,164.44,119.6,241.08,552.06,28.98,20.2,177.37,8.4,53.76,2.94,1.56,2.52,18.06,15.12,40.72,336.97,2.52,13.86,0.0,1.68,15.12,7.68,0.81,0.84,17.37,20.88,9.19,20.52
24.85,4.83,11.68,0.81,0.4,6.81,0.0,3.22,6.04,12.42,3.21,2.0,13.3,2.42,4.01,2.01,11.68,19.74,2.82,58.02,2.82,22.56,9.22,2.4,1.2,1.61,253.71,153.11,166.4,501.41,23.37,12.42,142.28,11.28,29.81,2.01,1.39,1.21,36.66,6.85,41.11,242.48,6.45,24.17,4.03,5.24,17.32,27.25,0.0,0.81,1.2,3.67,6.82,18.64
25.47,2.93,5.03,3.77,0.84,2.51,1.26,1.68,14.24,1.67,0.42,3.76,18.43,7.12,13.78,4.19,11.73,25.97,2.93,80.85,6.7,27.23,12.53,1.25,2.09,1.68,262.21,147.81,167.99,529.95,27.23,20.46,182.46,7.96,39.8,3.77,1.43,1.26,33.1,0.42,36.45,237.16,5.87,16.34,10.89,3.35,13.41,50.94,1.67,2.09,0.0,3.53,6.75,18.79
32.45,1.25,3.74,1.66,1.25,4.58,0.42,2.49,4.99,17.47,1.66,1.25,9.98,1.25,5.41,7.48,11.63,21.19,1.25,61.07,5.82,20.36,11.23,1.66,1.66,0.83,233.78,133.53,203.16,532.83,37.39,14.56,151.0,12.46,49.85,4.99,1.49,1.25,27.0,3.74,35.33,274.54,2.08,19.94,2.91,3.74,15.79,14.98,0.42,0.83,0.83,4.69,7.31,30.62
39.21,0.0,2.02,4.05,0.81,2.02,1.21,2.43,8.5,1.21,1.21,2.02,8.49,1.62,7.28,0.81,15.78,25.9,3.24,75.68,6.48,26.71,10.11,2.43,1.62,5.26,219.89,145.11,199.92,549.58,27.92,25.46,185.13,6.07,44.11,4.45,1.49,1.21,36.42,9.71,38.04,265.56,2.83,17.4,2.02,10.52,13.35,7.68,0.81,1.62,0.81,5.14,8.19,25.03
26.91,0.0,10.28,6.72,0.79,2.77,1.19,6.72,7.91,3.56,0.4,3.56,17.41,2.77,8.31,2.77,11.87,36.0,2.37,95.73,5.14,18.2,11.08,1.58,1.58,5.93,259.99,159.48,167.72,531.44,16.61,12.66,135.73,3.96,32.04,3.16,1.46,0.4,37.18,11.87,44.68,242.18,5.93,24.53,2.37,2.37,25.71,13.85,1.58,1.58,1.19,3.97,7.18,25.6
35.44,0.0,11.0,8.56,4.07,5.7,3.67,8.15,11.41,8.96,0.0,7.74,15.89,1.63,6.11,3.26,17.11,33.82,1.63,80.28,4.48,19.97,12.63,5.7,1.63,10.19,249.29,147.45,158.11,534.23,28.12,18.33,186.56,9.37,30.56,7.74,1.48,1.22,37.9,9.37,35.86,237.88,4.48,14.26,2.44,4.89,17.52,6.11,1.22,0.41,0.0,4.43,7.02,18.79
39.97,0.0,9.04,7.47,1.57,2.35,3.54,3.93,12.19,5.09,0.78,7.05,14.54,4.72,4.7,0.79,15.33,31.84,2.36,87.26,8.25,25.16,14.5,6.66,1.57,8.25,218.65,159.48,185.14,564.07,26.73,22.34,192.4,3.54,38.92,4.32,1.5,2.75,42.85,10.22,33.02,226.49,2.36,12.97,1.18,7.47,14.15,11.76,0.78,1.97,1.57,4.16,7.02,21.18
25.68,0.0,10.76,9.93,1.65,5.39,2.9,7.45,14.07,6.63,0.0,8.29,19.03,1.65,6.63,4.55,14.07,29.79,4.14,81.09,3.72,14.07,13.67,2.49,0.0,3.72,236.95,173.16,144.81,506.83,18.2,18.64,161.97,4.96,28.13,3.72,1.43,2.07,38.06,12.0,45.51,217.07,5.79,23.58,2.07,5.38,21.1,15.74,2.07,2.9,0.0,3.86,6.68,18.62
25.68,1.17,9.34,7.78,2.33,5.06,1.17,6.61,12.45,23.74,4.28,3.89,15.95,3.89,7.0,1.95,17.51,33.07,1.95,89.88,5.45,24.12,19.07,5.45,0.78,4.28,272.37,163.81,181.32,550.19,28.02,11.28,158.75,6.61,39.69,2.72,1.46,1.17,31.52,9.73,45.53,228.02,3.89,18.68,0.78,10.12,19.46,10.51,0.0,2.72,0.0,4.84,8.01,26.33
22.76,0.81,9.35,4.07,0.41,3.66,2.03,7.72,14.63,23.17,3.66,0.81,23.58,1.22,15.04,1.22,15.85,32.52,3.66,88.21,8.94,23.17,21.14,4.47,2.44,1.22,292.68,189.43,180.08,573.87,26.42,9.76,131.3,6.5,37.4,2.44,1.46,1.22,32.52,24.39,48.43,241.87,8.13,19.51,3.25,5.28,16.67,13.82,0.81,4.47,0.0,5.74,9.51,27.59
19.75,1.61,8.87,3.23,0.81,0.0,0.81,6.85,9.27,18.14,3.22,2.42,18.14,2.82,9.27,0.81,10.48,21.77,2.82,72.18,2.02,22.98,10.88,0.81,0.4,4.44,278.92,174.53,188.71,545.38,19.35,10.08,147.12,6.45,48.39,6.85,1.48,1.61,32.66,37.9,48.0,236.2,8.06,27.42,2.82,5.65,21.77,12.09,0.4,2.02,0.81,5.11,9.21,28.88
