abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
8.57,0.41,3.27,0.82,0.41,0.0,0.41,2.45,11.02,4.9,0.0,2.45,6.94,0.82,7.75,13.06,16.73,27.35,5.71,90.2,5.31,15.51,22.44,6.94,1.22,0.0,186.05,111.79,247.76,617.27,3.67,4.9,170.54,10.61,45.71,6.12,1.27,0.82,22.86,4.9,54.44,214.61,1.63,9.8,2.86,0.82,4.08,1.63,0.0,0.82,0.0,3.67,6.52,36.12
70.8,1.31,4.81,5.69,0.44,3.93,0.88,1.75,10.5,34.53,0.0,4.81,20.14,1.75,13.99,2.19,20.57,24.07,4.38,68.71,11.38,24.95,20.98,6.56,0.87,0.88,316.43,173.95,171.55,563.24,32.39,20.54,207.6,17.07,30.63,2.63,1.45,5.69,34.14,0.44,25.82,177.88,4.81,19.26,0.0,0.44,10.07,3.5,0.44,0.88,0.0,5.37,8.73,33.13
49.28,0.0,0.0,0.79,0.0,0.0,0.4,0.79,3.96,0.0,0.0,0.42,8.71,0.4,11.37,7.52,18.99,20.97,4.35,53.03,3.56,12.66,12.64,9.27,4.21,0.4,164.28,128.48,276.22,686.98,39.57,32.86,229.57,20.18,62.52,9.1,1.59,4.75,13.06,5.94,23.74,208.09,0.4,13.85,1.98,5.54,3.17,0.84,0.0,1.58,0.84,5.22,9.69,31.08
21.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,5.68,0.0,2.69,13.24,2.27,10.22,0.0,32.92,2.27,6.05,8.83,2.3,0.77,0.0,81.8,90.63,277.71,642.45,24.59,37.25,192.4,12.86,63.19,9.84,1.45,3.41,32.54,3.03,35.19,197.39,0.0,9.46,1.14,0.38,0.76,0.0,0.0,0.38,2.69,4.69,7.32,41.67
40.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,7.73,0.35,3.33,6.68,1.05,5.62,0.7,34.8,1.05,4.92,7.02,2.96,2.59,0.0,87.95,116.41,294.55,699.82,31.99,31.04,214.71,8.44,74.17,5.98,1.54,1.05,19.33,1.76,33.04,140.06,0.35,13.01,0.35,1.76,1.05,0.0,0.0,0.0,2.96,3.58,5.6,19.49
48.35,1.49,9.71,7.84,1.12,10.61,4.48,7.1,28.02,11.4,0.79,4.32,18.67,7.1,9.43,1.87,16.06,32.87,5.98,99.74,11.95,10.83,11.4,2.36,2.75,4.48,207.94,144.26,159.51,610.38,35.49,26.34,202.04,4.48,34.37,4.11,1.49,1.12,25.78,0.75,35.86,197.72,0.37,8.22,0.37,1.87,2.99,7.08,1.18,0.37,2.36,3.6,6.52,38.73
49.81,0.36,1.07,0.36,0.0,0.0,0.0,1.43,7.88,0.0,0.0,0.0,5.73,-0.72,10.19,2.51,8.24,20.42,4.66,70.58,5.73,11.47,20.0,5.66,1.89,2.15,130.19,124.53,244.36,718.02,53.39,35.47,220.38,15.76,67.36,14.33,1.6,1.79,13.97,1.07,26.87,153.58,0.0,8.24,0.36,2.15,3.22,1.13,0.0,0.72,3.02,3.74,6.81,28.43
56.95,0.0,0.39,0.39,0.0,0.0,0.39,0.39,2.76,0.4,0.0,0.0,5.9,-0.39,10.5,9.07,9.07,29.56,4.34,79.62,7.09,14.19,23.42,6.87,2.83,0.79,109.45,136.51,249.51,668.11,34.69,56.95,275.04,11.04,63.46,9.46,1.6,3.55,7.49,0.0,16.95,138.53,0.39,11.04,0.39,2.76,1.97,0.81,0.0,0.79,0.0,4.17,8.52,31.57
37.05,0.35,0.7,0.0,0.0,0.36,0.0,2.11,7.03,0.36,0.0,0.0,5.62,0.0,9.08,3.16,10.55,21.8,0.7,49.93,5.63,6.33,15.26,4.72,2.91,0.0,148.2,115.15,257.74,656.47,23.56,26.88,193.24,11.95,45.01,16.53,1.54,2.11,15.82,4.22,30.94,232.11,0.0,8.79,1.05,0.7,2.46,1.82,0.36,1.05,1.09,4.19,6.82,25.21
70.15,0.0,0.0,0.41,0.0,1.25,0.0,1.22,4.49,1.25,0.0,1.25,9.79,1.63,9.6,6.12,8.97,16.72,3.26,44.45,5.3,10.2,14.61,10.44,2.09,0.0,169.1,119.83,264.27,659.05,44.45,45.93,279.75,13.46,60.36,8.16,1.55,2.85,12.64,0.82,20.8,192.48,1.22,14.27,2.04,2.04,2.04,2.92,0.42,0.0,0.0,4.47,7.9,31.79
