,Median,Min,Max,Range,IQR
average clause length,7.86,5.6,14.02,8.42,1.79
amplifiers,11.0,3.37,28.03,24.66,6.01
monosyllabic negation,5.28,1.55,28.02,26.47,4.22
average sentence length,31.65,19.49,41.67,22.180000000000003,9.04
average sentence length'SD,19.69,10.69,38.01,27.32,7.88
auxiliary adjectives,8.1,2.35,16.53,14.180000000000001,5.88
average word length,1.55,1.27,1.7,0.42999999999999994,0.07
BE,10.66,1.05,20.57,19.52,6.98
disyllabic prepositions,3.5,0.39,10.82,10.43,2.77
classical function words,7.0,0.8,13.24,12.44,5.02
classical syntac,7.22,0.85,44.22,43.37,3.85
classifiers,22.18,7.49,38.62,31.129999999999995,12.29
conditional conjuncts,2.22,0.0,6.56,6.56,3.51
demonstrative pronouns,11.24,4.13,24.95,20.82,6.1
descriptive words,0.39,0.0,2.86,2.86,1.08
disyllabic verbs,65.0,36.43,85.53,49.1,13.69
disyllabic words,33.85,4.9,57.91,53.01,12.27
downtoners,1.64,0.0,4.21,4.21,1.94
emotion words,6.44,1.72,21.8,20.080000000000002,4.74
existential,4.68,1.05,11.95,10.899999999999999,4.49
exclamation,0.0,0.0,1.12,1.12,0.09
first-person pronouns,0.6,0.0,34.53,34.53,2.31
hedges,5.57,2.3,13.85,11.55,4.81
HSK 1,139.38,78.11,316.43,238.32,50.96
HSK 3,111.66,71.2,183.51,112.30999999999999,27.68
imperfect markers,11.11,5.68,21.08,15.399999999999999,4.81
indefinite pronouns,0.42,0.0,5.91,5.91,1.63
interrogative,0.4,0.0,8.57,8.57,1.25
intransitive verbs,18.84,6.48,64.37,57.89,8.62
lexical density,666.31,563.24,740.56,177.31999999999994,49.06
modifying adverbs,16.29,5.62,32.87,27.249999999999996,9.12
complement marker de,0.38,0.0,3.57,3.57,0.78
adverbial marker di,0.4,0.0,4.81,4.81,1.28
monosyllabic verbs,29.3,16.95,54.44,37.489999999999995,9.59
nominalisation,34.26,3.67,88.26,84.59,16.17
nouns excl. nominalisation,258.36,154.58,309.73,155.15,35.05
onomatopoeia,0.0,0.0,1.18,1.18,0.0
other personal pronouns,0.94,-2.35,8.72,11.07,1.86
modal particles,0.38,0.0,9.71,9.71,1.81
perfect aspect markers,2.61,0.0,12.26,12.26,2.34
Chinese person names,1.08,0.0,18.66,18.66,1.56
phrasal coordination,11.76,4.48,23.32,18.84,4.91
private verbs,6.8,1.9,23.2,21.3,5.44
public verbs,0.94,0.0,7.1,7.1,1.08
question,0.0,0.0,6.97,6.97,0.7
adverbs,51.0,28.47,99.74,71.27,19.07
simile,1.23,0.0,5.54,5.54,1.42
seem/appear,0.0,0.0,1.18,1.18,0.0
second-person pronouns,0.0,0.0,18.91,18.91,0.41
disyllabic negation,0.39,0.0,4.48,4.48,0.79
third-person pronouns,1.17,0.0,7.08,7.08,2.14
unique words ratio,175.94,114.42,232.11,117.69000000000001,52.76
WH-words,0.36,0.0,5.03,5.03,0.79
honorifics,0.0,0.0,16.26,16.26,0.51
