,Mean,Min,Max,Range,SD
abstract nouns,46.04,2.82,199.83,197.01000000000002,36.47
average clause length,9.27,3.13,31.89,28.76,4.23
average clause length SD,6.13,2.54,37.37,34.83,3.86
amplifiers,11.5,0.0,29.11,29.11,4.92
monosyllabic negation,8.94,0.0,30.94,30.94,5.99
average sentence length,33.03,8.56,127.21,118.64999999999999,15.62
auxiliary adjectives,5.2,0.0,41.19,41.19,4.11
average word length,1.5,1.26,1.84,0.5800000000000001,0.13
BE,12.92,0.0,31.42,31.42,5.91
disyllabic prepositions,2.42,0.0,18.07,18.07,2.03
classical function words,6.02,0.0,45.9,45.9,4.71
classifiers,25.58,2.83,53.01,50.18,10.02
conditional conjuncts,1.97,0.0,11.32,11.32,1.66
demonstrative pronouns,17.19,0.41,45.0,44.59,6.91
descriptive words,1.75,0.0,11.83,11.83,2.01
disyllabic words,27.7,0.0,110.79,110.79,22.13
downtoners,1.21,0.0,7.88,7.88,1.13
existential,4.92,0.0,13.08,13.08,2.62
exclamation,1.61,0.0,20.12,20.12,3.03
first-person pronouns,9.37,0.0,84.94,84.94,12.35
hedges,3.4,0.0,15.0,15.0,2.52
honourifics,2.81,0.0,32.9,32.9,4.02
HSK 1,205.94,39.89,361.05,321.16,64.72
HSK 3,125.43,24.09,253.16,229.07,35.52
HSK 6,196.81,67.83,495.04,427.21000000000004,81.1
imperfect markers,14.35,0.83,36.47,35.64,6.18
indefinite pronouns,2.34,0.0,16.4,16.4,2.21
interrogative,3.73,0.0,26.82,26.82,3.66
lexical density,581.13,350.2,895.39,545.19,84.75
modifying adverbs,20.19,0.0,51.9,51.9,8.52
complement marker de,1.39,0.0,8.13,8.13,1.38
adverbial marker di,2.55,0.0,17.25,17.25,2.43
monosyllabic verbs,34.52,6.24,75.51,69.27000000000001,14.51
consecutive nouns,54.32,5.53,188.44,182.91,35.64
nominalisation,43.2,1.97,198.73,196.76,32.17
nouns excl. nominalisation,218.7,89.27,398.59,309.32,59.19
other_personal,2.68,0.0,25.12,25.12,3.04
particle,7.13,0.0,90.67,90.67,10.1
PEAS,10.34,0.0,38.69,38.69,6.1
performative_verb,1.02,0.0,12.84,12.84,1.59
person,13.11,0.0,100.4,100.4,14.22
phrasal coordination,12.89,0.0,44.87,44.87,8.54
private verbs,12.67,1.2,32.74,31.540000000000003,6.05
public verbs,5.56,0.0,27.62,27.62,4.79
question,2.8,0.0,27.23,27.23,3.92
adverbs,61.44,4.4,115.16,110.75999999999999,21.26
simile,2.12,0.0,13.87,13.87,2.1
seem/appear,0.35,0.0,3.89,3.89,0.59
second-person pronouns,3.76,0.0,50.78,50.78,6.01
disyllabic negation,1.71,0.0,10.19,10.19,1.64
third-person pronouns,10.7,0.0,61.3,61.3,10.7
unique words,216.56,63.73,345.92,282.19,52.5
WH-words,1.37,0.0,7.83,7.83,1.43
